DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Highlights,More Notes,Applicability,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Impacted Sector,Benefits of Adaptation,Costs of Adaptation,Ante/Post?,Planning Process,"""Soft Options""",Sufficiency Definition,Soft Options
10.3390/w11061279,Wu et al.,2019,A Comparative Analysis of the Historical Accuracy of the Point Precipitation Frequency Estimates of Four Data Sets and Their Projections for the Northeastern United States,https://repository.library.noaa.gov/view/noaa/28513/noaa_28513_DS1.pdf,10.3390/w11061279,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0269741,Braswell et al.,2022,Creeping disaster along the US coastline: Understanding exposure to sea level rise and hurricanes through historical development,https://repository.library.noaa.gov/view/noaa/55409/noaa_55409_DS1.pdf,10.1371/journal.pone.0269741,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1126/sciadv.adl1252,Connolly et al.,2024,Mortality attributable to PM2.5 from wildland fires in California from 2008 to 2018,https://www.nwfirescience.org/sites/default/files/publications/sciadv.adl1252.pdf,10.1126/sciadv.adl1252,AI,Step 5,"California, USA",Mortality impacts; Wildfires; Air pollution; Economic valuation; California; Premature deaths; PM2.5.,Wildfire; PM2.5 emissions; Aridification; Mortality; Economic burden,mod cap scenario,Modeled PM2.5 concentrations from wildland fires (using the CMAQ model at 12-km resolution) are combined with mortality data and a chronic dose-response coefficient to estimate premature deaths. A 'mod cap' scenario is implemented to address uncertainties in modeled PM2.5 estimates.,"Wildfire management is increasingly important due to climate change-induced aridification. Wildfire-related PM2.5 exposure in California results in significant premature deaths, accounting for a substantial portion of total PM2.5-attributed deaths in the state, even when capping concentration levels.",Analysis focuses on California.,Adaptation,,,,,,,,,The health sector is specifically impacted due to increased premature mortality from wildland fire-related PM2.5 exposure.,"Benefits of adaptation are quantified by estimating the reduction in premature deaths due to wildland fire-associated PM2.5 exposure. This is achieved by modeling PM2.5 concentrations, using mortality data, and applying a dose-response coefficient. A 'mod cap' scenario is used to account for uncertainties in PM2.5 estimates.","Adaptation costs are not directly quantified in these notes. The focus is on quantifying the health costs (premature mortality) associated with wildland fire-related air pollution (PM2.5) using modeled concentrations, mortality data, and dose-response coefficients. A 'mod cap' scenario is used to address uncertainties in the PM2.5 estimates.",The analysis primarily relies on ex-post observations (mortality data) combined with ex-ante modeling (wildland fire PM2.5 concentrations).,"This paper focuses on modeling and quantifying the health impacts (premature mortality) of wildland fire-related PM2.5 exposure in California. It doesn't discuss adaptation planning or the decision-making process, but rather the methodology for estimating health consequences.",,"This paper does not directly address sufficient adaptation levels. Instead, it focuses on quantifying the health impacts (premature mortality) of wildfire-related PM2.5 exposure, utilizing modeled concentrations and dose-response relationships. While a 'mod cap' scenario attempts to address uncertainties in PM2.5 estimates, it's not explicitly framed as representing a specific adaptation level or a definition of being 'well-adapted'.","The provided information does not address the benefits of ""soft options"" (informational and institutional interventions). It focuses on modeling and quantifying the health impacts of wildland fire PM2.5 exposure."
10.1038/s41467-023-37858-2,Toth et al.,2023,The potential for coral reef restoration to mitigate coastal flooding as sea levels rise,https://npshistory.com/publications/buis/nc-v14-2023.pdf,10.1038/s41467-023-37858-2,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s11027-023-10103-3,Serdeczny et al.,2024,Climatic risks to adaptive capacity,https://www.econstor.eu/bitstream/10419/315332/1/11027_2024_Article_10103.pdf,10.1007/s11027-023-10103-3,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1126/science.1249534,van Groenigen et al.,2014,Faster Decomposition Under Increased Atmospheric CO2 Limits Soil Carbon Storage,https://osenberglab.ecology.uga.edu/wp-content/uploads/2012/08/2014van-Groenigen-et-al-2014-Science.pdf,10.1126/science.1249534,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1093/epolic/eiab008,Kotlikoff et al.,2021,Pareto-improving carbon-risk taxation,https://www.nber.org/system/files/working_papers/w26919/w26919.pdf,10.1093/epolic/eiab008,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0304718,Alabia et al.,2024,Future redistribution of fishery resources suggests biological and economic trade-offs according to the severity of the emission scenario,https://pdfs.semanticscholar.org/6114/f3ac74ba6dc7e6699aebde2a107de0a1db40.pdf,10.1371/journal.pone.0304718,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/2015GB005133,Feldpausch et al.,2016,Amazon forest response to repeated droughts,http://mtc-m21b.sid.inpe.br/col/sid.inpe.br/mtc-m21b/2016/11.11.12.59/doc/feldpausch_amazon.pdf,10.1002/2015GB005133,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1093/restud/rdad083,Koijen et al.,2023,Which Investors Matter for Equity Valuations and Expected Returns?,https://www.bancaditalia.it/pubblicazioni/altri-atti-seminari/2021/Koijen.pdf,10.1093/restud/rdad083,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1038/s41598-022-09287-6,Wang & Toumi,2022,More tropical cyclones are striking coasts with major intensities at landfall,https://www.vliz.be/imisdocs/publications/374530.pdf,10.1038/s41598-022-09287-6,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1073/pnas.1317166111,Bohra-Mishra et al.,2014,Nonlinear permanent migration response to climatic variations but minimal response to disasters,https://impactlab.org/wp-content/uploads/2017/09/Nonlinear-permanent-migration-response-to-climatic-variations-but-minimal-response-to-disasters.pdf,10.1073/pnas.1317166111,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10640-021-00561-1,Antoci et al.,2022,Adoption Gaps of Environmental Adaptation Technologies with Public Effects,https://iris.uniss.it/bitstream/11388/247715/1/Antoci2021_Article_AdoptionGapsOfEnvironmentalAda%20%281%29.pdf,10.1007/s10640-021-00561-1,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rsma.2015.12.005,Lacoue-Labarthe et al.,2016,Impacts of ocean acidification in a warming Mediterranean Sea: An overview,https://core.ac.uk/download/pdf/52713099.pdf,10.1016/j.rsma.2015.12.005,AI,Step 5,No specific country or group of countries is mentioned in the provided notes.,National income; fisheries & aquaculture value/productivity loss; tourism impact (biodiversity/coral damage); socio-economic value of ecosystems; ocean acidification impacts; policy action/inaction costs/benefits; biodiversity valuation.,"Temperature increase, ocean acidification, CO2 emissions, extreme weather events, invasive species, climate modulation of fish populations, human population growth.",The provided excerpts do not mention specific socioeconomic or climate scenarios used in the analysis. They only discuss valuation methods and risk assessment approaches.,"Methodology includes integrated economic valuation of key sectors (e.g., tourism) and biodiversity/marine ecosystems, application of risk maps and risk analysis, and multivariate mixed models for contingent valuation data.","Ocean acidification, exacerbated by warming waters, poses significant macroeconomic and macro-fiscal risks, particularly in regions like the Mediterranean Sea. These risks stem from threats to fisheries, aquaculture, tourism, and overall marine biodiversity and productivity. Coral reefs are especially vulnerable, potentially causing knock-on ecological effects and limiting fish stocks. Regular socio-economic assessments are crucial for building adaptive strategies, and policymakers require cost/benefit analyses to guide action versus inaction.","Mediterranean-focused analysis highlights the need for adaptation in fisheries and aquaculture, especially in the southern Mediterranean, emphasizing stakeholder involvement and public-private partnerships. Indirect effects of climate change, such as biodiversity loss and trophic web alterations, are also considered, but its applicability to national-level analysis depends on the specific country.",Adaptation,,,,,,,,,"Yes, the tourism sector is specifically mentioned as being impacted. Fisheries, biodiversity, and marine ecosystems are also indirectly implicated through economic valuation techniques.","Benefits of adaptation are quantified through integrated economic valuation of key sectors like tourism, economic valuation techniques applied to biodiversity and marine ecosystems, and methods leveraging open-ended contingent valuation data. Risk maps and risk analysis are also utilized.","Costs of adaptation are quantified using a variety of methods, including integrated economic valuation of key sectors (like tourism), risk maps and analysis, multivariate mixed models for contingent valuation data, and economic valuation techniques applied to biodiversity and marine ecosystems.","The analysis relies on ex-ante modeling, proposing integrated economic valuation, risk maps, and risk analysis methods. While it uses valuation techniques, the overall approach is forward-looking.","The adaptation planning/decision-making process discussed involves integrated economic valuation of key sectors like tourism, risk mapping, risk analysis methods, and economic valuation techniques applied to biodiversity and marine ecosystems.",,"Based on these notes, the paper doesn't explicitly define ""sufficient adaptation levels."" Instead, it implies that being ""well-adapted"" involves using risk maps and risk analysis, and employing economic valuation techniques to quantify potential economic losses across key sectors (including tourism, biodiversity, and marine ecosystems) due to climate change impacts. These valuations likely inform adaptation strategies, but the threshold for ""sufficient"" adaptation isn't stated.","Soft options, such as informational and institutional interventions (e.g., risk maps, risk analysis methods, integrated economic valuation of sectors like tourism), facilitate the assessment and quantification of climate change risks and potential economic losses. This improved understanding allows for better-informed decision-making regarding adaptation strategies, ultimately maximizing the benefits of those strategies."
10.1038/s41467-024-46548-6,Mcnamara et al.,2024,Policy and market forces delay real estate price declines on the US coast,https://people.uncw.edu/mcnamarad/papers/McNamara24.pdf,10.1038/s41467-024-46548-6,AI,Step 5,The notes do not specify any particular country or group of countries.,"Property values, sea-level rise (SLR), coastal real estate, risk premium, income, property tax, shoreline management/nourishment, storm risk, adaptation.","Sea-level rise (SLR), storms, beach erosion/shoreline retreat, flood hazards, climate change impacts/risk parameters, outside market fluctuations (property values), nourishment subsidy. Climate beliefs and risk tolerance.","Baseline scenario, scenario with reduced nourishment subsidy, scenarios with appreciating outside markets, and scenarios with and without SLR.","The Coastal Home Ownership Model (C-HOM), an agent-based model, is used to simulate coastal property market dynamics over a 150-year horizon, with a focus on the impact of sea level rise (SLR) and changing storm climates starting at year 50. The model incorporates physical attributes of the coast, economic values, dynamic risks, and exogenous factors like SLR, storm risk, and competing property markets. It simulates agent behavior (owners, renters, investors) and their adjustments in parameters (income, willingness to pay) based on comparisons between coastal and external market values, utilizing a user cost framework for property valuation. Simulations involve comparing baseline scenarios with alternative scenarios such as changes in nourishment subsidy rates or appreciating outside markets with/without SLR, and analyze outcomes like property value changes due to beach nourishment decisions, accounting for agent voting behavior based on property tax burden and value increase. The model operates at a spatial resolution of nourishment units and employs market clearing conditions to determine equilibrium prices and investor market share. Methodologies include dynamic programming, hedonic pricing models, coupled physical and economic models, and integrated economic-geological models, applicable to coastal real estate, beach nourishment, shoreline management, and managed retreat strategies.","Highlights: The Coastal Home Ownership Model (C-HOM) simulates the evolution of coastal real estate markets under sea-level rise (SLR), considering factors like property values, resident incomes, and shoreline management. Subsidies and rising external markets can temporarily offset the negative impacts of SLR, but ultimately, property values decline. Cutting nourishment subsidies accelerates this decline, potentially leading to coastal gentrification (demographic shifts). Nourishment decisions are driven by property tax burdens and property value increases, with front-row properties bearing a higher cost share. The model incorporates individual preferences, climate change risk premiums, arbitrage, herding, storm impacts, and property elevation. Key areas of study include tradeoffs between beach nourishment and managed retreat, the impact of repetitive flooding on outmigration and climate gentrification, and the effect of adaptation infrastructure on property values.","The study explores macroeconomic and macro-fiscal risks of climate change, focusing on property markets in coastal communities. It highlights a policy tradeoff between managing demographic transitions and ensuring smooth market adjustments to climate risks. The model integrates human and natural systems, analyzing how agent actions influence these interactions. Property values initially obscure risks from interactions of risk, investment, and income. It examines subsidy impacts on coastal nourishment, suggesting rising external markets mitigate subsidy removal effects, while declining markets reduce high-income influx. The fixed housing supply excludes short-term rentals, with destroyed storm structures typically rebuilt. Agents with varied income and climate beliefs affect risk premiums for oceanfront vs. non-oceanfront properties, which aggregate storm and SLR risks without correlational consideration. Oceanfront risk remains fixed, with capital gain expectations shaped by market history. Institutional investors are taxed on nourishment approval but lack voting rights, and the model omits explicit dune building. Climate change foresight factors into risk parameters, and the Coastal Home Ownership Model (C-HOM) is available on GitHub.",Adaptation,,,,,,,,,"The coastal real estate sector is directly impacted by climate change, specifically through sea level rise and changing storm climates.","Benefits of adaptation (specifically beach nourishment in this case) are quantified by simulating property value changes using an agent-based model (C-HOM). This model incorporates factors like sea-level rise, storm risk, beach erosion dynamics, and public finance decisions to determine equilibrium property prices. The change in property values resulting from different adaptation strategies (like different nourishment subsidy rates) are compared against a baseline scenario to estimate the benefits. A user cost framework is used for property valuation, and agents adjust their parameters based on comparisons between coastal property values and external market values.","The Coastal Home Ownership Model (C-HOM) quantifies adaptation costs (specifically related to beach nourishment) by simulating a coastal property market with agents who make decisions based on property values, taxes, and beach width. The model uses a user cost framework for property valuation and simulates housing market dynamics under climate change, accounting for factors like sea level rise, storm risk, and external market influences. Agents vote on adaptation measures (beach nourishment) based on the comparison of property tax burden and property value increase. The results are differences between a baseline scenario without adaptation and scenarios with adaptation measures in place.","The analysis relies on ex-ante modeling, specifically agent-based simulations, to project the effects of sea-level rise and other climate-related factors on coastal property markets.","The paper discusses adaptation planning/decision-making in the context of coastal real estate markets facing sea-level rise (SLR) and storm risk. It focuses on modeling the economic consequences of different policy choices, particularly beach nourishment, and how agents (homeowners, investors) respond to these policies and climate change impacts. The agent-based model simulates agents voting on nourishment plans based on property tax burdens and property value increases. It also includes how agents adjust parameters (income, willingness to pay) based on comparisons between coastal property values and external market values.",,"The paper uses the Coastal Home Ownership Model (C-HOM) to evaluate adaptation levels by simulating coastal property market dynamics under different climate change scenarios, such as sea level rise and storm risks. A sufficient adaptation level in this context means maintaining coastal property value and market equilibrium despite external climate pressures. This includes implementing localized adaptation strategies like beach nourishment and considering external market influences. The model explores how agent preferences, market dynamics, and policy decisions on coastal management collectively determine the resilience and adaptation success of coastal real estate markets. Sufficient adaptation is achieved when policy and market dynamics effectively balance these competing forces to sustain property values over time.","The provided notes do not contain information related to the benefits of ""soft options"" (e.g., informational and institutional interventions) for climate change adaptation. The paper focuses on modeling the impact of sea-level rise and storm risk on coastal property markets."
10.1016/j.worlddev.2018.01.001,Keerthiratne & Tol,2018,Impact of natural disasters on income inequality in Sri Lanka,https://research.vu.nl/ws/portalfiles/portal/104849177/Impact_of_natural_disasters_on_income_inequality_in_Sri_Lanka.pdf,10.1016/j.worlddev.2018.01.001,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.5194/esd-13-251-2022,Rutgersson et al.,2022,Natural hazards and extreme events in the Baltic Sea region,https://esd.copernicus.org/articles/13/251/2022/esd-13-251-2022.pdf,10.5194/esd-13-251-2022,AI,Step 5,Unable to determine based on the provided information.,Economic losses; River flooding; Marine traffic disruption; Ship damage; Forest fires; Carbon feedback; Coastal flooding; Property destruction; Traffic disruption; Recreation impacts; Economic costs.,Climate change; natural hazards; wind storms; extreme waves; sea levels; ice ridging; precipitation; floods; heat waves; ice seasons; drought; phytoplankton blooms; forest fires; coastal flooding; global warming; water cycle changes; sea ice extremes; NAO; stratification; cyanobacteria blooms; atmospheric circulation; wind climate; storm tracks; circulation patterns; cyclones; blocking patterns.,"Historical data and trends, recent decades' trends in circulation patterns/cyclone activity/precipitation, and analysis performed by Krikken et al. (2021).","Methodologies used include: trend analysis of phytoplankton biomass and chlorophyll-a concentrations (1988-2017) to determine vegetation period changes and historical data to identify cyanobacterial bloom emergence; use of Krikken et al. (2021) findings to estimate climate change-related fire event probability increases; and analysis of circulation patterns, cyclone activity, and precipitation extremes.","Climate change in the Baltic Sea region presents a range of macroeconomic and macro-fiscal risks. These include increased probability of large forest fires (potentially turning boreal forests into a net carbon source), economic damage from extreme water levels and coastal flooding, increased risk of drying and heatwaves in summer, and stronger precipitation extremes leading to inland flooding, especially in urban areas. Changes in the Baltic Sea also include decreasing sea ice, altered phytoplankton growing seasons, and increased occurrences of cyanobacteria and toxic dinoflagellate blooms.","No relevant fiscal insights were found on page 22. The research utilizes the MIUU model for calculating wind speeds pertinent to wind energy, although these are not related to damage cost curves. The study is centered on the Baltic Sea region and examines the interplay of atmospheric, hydrological, and marine processes, with a particular emphasis on the societal impacts of the North Atlantic Oscillation (NAO).",Adaptation,,,,,,,,,"The information provided suggests potential impacts on sectors related to marine ecosystems (phytoplankton, cyanobacteria, potentially fisheries), forestry (fire risk), and sectors vulnerable to extreme weather events (cyclones, precipitation).","Adaptation benefits are quantified by evaluating the reduction in vulnerability and potential economic losses due to climate change impacts. This involves calculating the avoided damages and losses when adaptation measures are implemented, often through modeling scenarios to compare outcomes with and without adaptation actions. The benefits are measured in economic terms, such as cost savings, increased productivity, or reduced risk, and can also include non-monetary outcomes like improved health or ecosystem resilience. Quantification typically requires comprehensive data analysis and modeling to capture the complex interactions and uncertainties associated with climate change impacts at various scales.","The provided notes do not describe methods for quantifying the *costs* of adaptation. They detail analyses of climate change impacts (e.g., phytoplankton blooms, fire events, circulation patterns) that could inform adaptation needs, but not how the expenses associated with *implementing* adaptation measures are calculated.","The analysis relies on both ex-post observations (historical data analysis, trends in past events) and ex-ante modeling (estimating future probabilities based on analysis).",The provided notes do not discuss the adaptation planning/decision-making process. They focus on analyzing climate change impacts and trends.,,"The provided notes do not directly address the concept of sufficient adaptation levels or what it means to be well-adapted to climate change. The notes focus on specific climate factors such as phytoplankton biomass in coastal systems, probability of fire events, and trends in extreme weather events, rather than on defining or measuring adaptation levels. For an answer to your question regarding what constitutes being well-adapted, you may need to consult other papers that directly explore adaptation frameworks, targets, or criteria for assessing adequate adaptation within national contexts.","These notes do not provide direct information on the benefits of ""soft options"" for climate change adaptation. They primarily focus on climate change impact analysis (e.g., changes in phytoplankton, fire probability, and circulation patterns). They do not discuss informational or institutional interventions."
10.3389/fmars.2022.892201,Simon et al.,2022,Hot and cold marine extreme events in the Mediterranean over the period 1982-2021,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/2022-10/010086042.pdf,10.3389/fmars.2022.892201,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/rs12193127,Jacobs et al.,2020,A Major Ecosystem Shift in Coastal East African Waters During the 1997/98 Super El Nino as Detected Using Remote Sensing Data,https://core.ac.uk/download/pdf/334952114.pdf,10.3390/rs12193127,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2020.138855,Kumar et al.,2020,Towards an operationalisation of nature-based solutions for natural hazards,https://cris.unibo.it/retrieve/e1dcb336-09d5-7715-e053-1705fe0a6cc9/2020_Kumar_Towards%20an%20operationalisation%20of%20nature-based%20solutions%20for%20natural%20hazards_STOTEN.pdf,10.1016/j.scitotenv.2020.138855,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/sjoe.12524,Brey & Hertweck,2023,"The dynamic effects of monsoon rainfall shocks on agricultural yield, wages, and food prices in India",https://dipot.ulb.ac.be/dspace/bitstream/2013/375163/3/sd.pdf,10.1111/sjoe.12524,AI,Step 5,India,"Agricultural yield; agricultural wages; food prices; welfare (purchasing power); consumption patterns (staple food, luxury goods); irrigation share.","Monsoon rainfall shocks: droughts (negative shocks), excessive rainfall (positive shocks), variations (timing, intensity, local/regional), temperature, irrigation, agricultural policy, wages, food prices, agricultural yield, Kharif season.","The analysis in the paper is based on variations in monsoon rainfall, particularly focusing on positive and negative rainfall shocks, using standardized measurements of summer monsoon rainfall at district and regional levels across different time periods and regions within India. Panel Vector Autoregression (PVAR) and impulse response functions are utilized to assess the dynamic effects of these rainfall shocks. The scenarios analyzed include regional and local rainfall shocks, considering their impact on agricultural yields, wages, prices, and consumption patterns in India, with data covering various periods between 1967 and 2005.","The study employs econometric methods, notably Panel Vector Autoregression (PVAR), to analyze the macroeconomic and fiscal impacts of rainfall shocks in India, focusing on monsoon variability. Standardized rainfall data at the district level is used, with analysis encompassing spatial and temporal dimensions, including binned scatterplots, LOWESS regression, impulse response functions, and decomposition of shocks. The econometric models utilize fixed effects and error clustering to account for unobserved heterogeneity and outliers. Empirical analysis spans several timeframes (1967–1991 and 1981–2005), examining the consequences of rainfall variability on agricultural yields, wages, and prices, while considering irrigation levels. The methodology incorporates quasi-event studies and partial equilibrium analysis, leveraging NSS regional grouping for spatial assessments and consumption pattern investigation across rural populations. The study rigorously tests model robustness against regional/temporal shocks using confidence intervals derived from robust standard errors.","Monsoon rainfall shocks in India have asymmetric effects, with droughts significantly reducing agricultural yield, while excessive rainfall has minimal impact. These negative rainfall shocks lead to persistent declines in agricultural wages and increases in food (rice) prices, lasting for several years. Irrigation mitigates the fall in agricultural wages but not the rise in food prices after regional droughts. The impact of rainfall variations on agricultural yield is most sensitive in June, September, and October. State-level policies, internal migration, and intra-regional food trade can dampen the negative effects of rainfall shocks on wages and prices, but their effectiveness varies depending on the scale of the shock (local vs. regional) and irrigation levels. Negative rainfall shocks negatively affect the welfare of agricultural laborers and cultivators, leading to reduced consumption of staple foods, with laborers experiencing a more persistent decline due to credit constraints. Cultivators are better able to smooth food consumption.","Macroeconomic impacts of regional droughts in India are unevenly distributed. Agricultural laborers are negatively impacted through wage decline and food price increases, while cultivators may benefit in the medium-term. Subsistence farmers are particularly vulnerable. Internal migration patterns are strongly influenced by state borders (NSS region affiliation), while food arbitrage trading is more determined by distance. State-level policies and infrastructure play a key role in agricultural outcomes and can influence food prices and availability. State-year fixed effects, likely reflecting relief programs, significantly influence agricultural yields and food prices following rainfall shocks. Analysis focuses on Kharif rainfall (specific monsoon season) and short-term impacts, with limited data available for Rabi crops affecting the precision of some estimates. The impact on agricultural laborers is exacerbated by their lower income levels and high proportion of income spent on food.",Macroeconomic/Fiscal,Econometric,Acute shocks,Adaptive,Local,Spatial Interactions,Transitional (accounting for changes over time),N/A,"Irrigation levels are considered. Analysis explores the impact of state-level policies. Sample splits examine time stability and regional differences. Models control for district and state-year fixed effects, and unobserved heterogeneity. Spatial dimensions of rainfall shocks are decomposed. A dynamic approach captures lasting effects, distinguishing between positive and negative shocks.",,,,,,,,
10.1080/15715124.2018.1433185,Zevenbergen et al.,2018,Adaptive delta management: a comparison between the Netherlands and Bangladesh Delta Program,http://gobeshona.net/wp-content/uploads/2018/05/2018-Zevenbergen-et-al-ADM-NL-and-BGD_2.pdf,10.1080/15715124.2018.1433185,AI,Step 5,No country names or groups are specified in the provided notes.,"The Flood Action Plan (FAP) aimed to embank major rivers in Bangladesh; however, it was doubtful if economic returns from protecting agricultural lands would outweigh the estimated costs.","Monsoon-driven flooding, river bank erosion, storm surges, and salinization in coastal regions are significant challenges affecting Bangladesh.",This information is not available in the provided context.,NA,"The effectiveness of small-scale flood-proofing measures emphasized by the National Water Management Plan, which was more successful compared to large-scale plans like the FAP.","Measures related to cyclonic storm surge flooding, such as early warning and shelter programs, significantly reduced fatalities during disasters, demonstrating adaptation benefits.",Adaptation,,,,,,,,,Agriculture is a key sector impacted.,"Benefits of adaptation are quantified by estimating the avoided damages from climate change impacts due to adaptation measures. This involves comparing future outcomes (e.g., economic output, health, infrastructure integrity) with and without adaptation, using various modeling approaches and considering uncertainties.","Adaptation costs are quantified using various methods, including bottom-up (engineering-economic) and top-down (macroeconomic) approaches, and can be expressed as investment, operation and maintenance (O&M), and transaction costs.",The analysis approach is not explicitly stated in the provided notes. More information is needed to determine if it relies on ex-ante modeling or ex-post observations.,The provided text fragment does not offer any information on the adaptation planning/decision-making process.,,No answer can be provided with the given information.,"Soft options, such as informational and institutional interventions, can yield benefits by promoting more efficient resource allocation, raising awareness, and influencing behavior towards climate resilience, often at lower upfront costs compared to hard infrastructure. They can improve the effectiveness of existing and planned adaptation measures, build capacity, and foster social capital, enhancing overall resilience and reducing long-term vulnerability."
10.1146/annurev-environ-012320-083019,Doney et al.,2020,The Impacts of Ocean Acidification on Marine Ecosystems and Reliant Human Communities,https://www.vliz.be/imisdocs/publications/370818.pdf,10.1146/annurev-environ-012320-083019,AI,Step 5,United States,Economic losses; Welfare losses; Employment losses; Ecosystem service losses; Shellfish fisheries & aquaculture impacts; Coastal protection; Tourism impacts; Amenity value losses.,Ocean acidification; Warming; Increased atmospheric CO2; Coral reef degradation; Shellfish reef degradation; Ecosystem resilience; Biodiversity loss; Marine ecosystem services.,"Simple CO2-damage relationships, ocean acidification and warming (Cooley et al., 2015).","Methodologies employed include reviews of scientific literature synthesizing existing assessments, modeling with varying complexity from simple CO2-damage relationships to integrated assessment modeling (e.g., Cooley et al., 2015), and both economic and non-economic valuation techniques.","Ocean acidification poses a significant threat to marine ecosystems, particularly in Southeast Asia, impacting bivalve populations, shellfish fisheries, aquaculture, shoreline protection, and other marine ecosystem services. This has direct economic consequences for commercial fisheries, shellfish production, and aquaculture, highlighting the need for both global CO2 emission reductions and local adaptation strategies.","The paper acknowledges that some impacts, like alterations in taste or behavior changes in finfish, haven't been incorporated into models yet.",Adaptation,,,,,,,,,"The fisheries sector, specifically bivalves and sea scallops, and sectors dependent on coral reef health are impacted.","Benefits of adaptation are quantified using a range of methods, including economic modeling (ranging from simple CO2-damage relationships to complex integrated assessment models) and both economic and non-economic methods to evaluate risks and potential economic losses, as seen in studies related to fisheries and coral reef health. Scientific literature reviews and synthesis efforts inform these assessments.","Costs of adaptation are quantified using a variety of methods, including simple CO2-damage relationship models, economic and non-economic methods for assessing specific risks (e.g., coral reef health), and integrated assessment modeling for specific industries (e.g., sea scallop fishery). These methods build upon scientific literature and national/international assessments.","The analysis relies primarily on ex-ante modeling, as evidenced by the use of models projecting economic losses, integrated assessment modeling for future planning, and the review of scientific literature building from synthesis efforts. While some elements might incorporate historical data, the focus is on forecasting future impacts and informing adaptation strategies.","The provided notes mention the use of integrated assessment modeling for adaptation planning in specific sectors (e.g., sea scallop fishery), and the evaluation of risks using both economic and non-economic methods, implying a multifaceted approach to adaptation decision-making. The review of literature and scientific assessments also inform this process.",,"Based on the provided excerpts, the paper explores adaptation in the context of climate change impacts on specific sectors (e.g., bivalves, coral reefs, sea scallop fisheries). ""Sufficient adaptation levels"" are implicitly understood as those that minimize economic losses and non-economic impacts (e.g., maintaining coral reef health) under future climate scenarios. The Cooley et al. (2015) study exemplifies this approach by using integrated assessment modeling to help a specific fishery plan for future environmental changes.","No direct information on the benefits of ""soft options"" available from the provided notes."
10.1016/j.ecolmodel.2018.05.018,Hodgson et al.,2018,Consequences of spatially variable ocean acidification in the California Current: Lower pH drives strongest declines in benthic species in southern regions while greatest economic impacts occur in northern regions,https://repository.library.noaa.gov/view/noaa/57934/noaa_57934_DS1.pdf,10.1016/j.ecolmodel.2018.05.018,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/agec.12610,Oskorouchi & Sousa-Poza,2021,"Floods, food security, and coping strategies: Evidence from Afghanistan",https://hcecon.uni-hohenheim.de/fileadmin/einrichtungen/hcecon/Dateien_und_Bilder/Dateien/Publikationen/2021/2021_Floods_food_security_and_coping_strategies.pdf,10.1111/agec.12610,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.wse.2022.10.004,van Hespen et al.,2023,Mangrove forests as a nature-based solution for coastal flood protection: Biophysical and ecological considerations,https://pure.tudelft.nl/ws/portalfiles/portal/148753512/1_s2.0_S1674237022000874_main.pdf,10.1016/j.wse.2022.10.004,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.forpol.2023.102975,Asada et al.,2023,Resilient forest-based value chains? Econometric analysis of roundwood prices in five European countries in the era of natural disturbances,https://unipub.uni-graz.at/obvugrfodok/content/titleinfo/8715434/full.pdf,10.1016/j.forpol.2023.102975,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
