DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Highlights,More Notes,SummaryCount
10.1016/j.econ.2020.04.001,Tanure T.M.D.P. et al.,2020.0,"The Impacts of Climate Change on Agricultural Production, Land Use and Economy of the Legal Amazon Region Between 2030 and 2049",found,10.1016/j.econ.2020.04.001,AI,Step 5,"Brazil, specifically the Brazilian Legal Amazon.","GDP, agricultural productivity, land use/deforestation, employment, income, consumption (household, government), investment, trade (exports, imports), migration, and food security. Regional (Legal Amazon) and sectoral impacts are also considered.","Climate change, temperature changes, rainfall changes, decreased agricultural productivity, land use change, and deforestation.",Baseline scenario and scenarios with climate change effects. IPCC scenarios are also mentioned.,"The study uses the REGIA model, an inter-regional Computable General Equilibrium (CGE) model for the Brazilian Legal Amazon, to simulate the macroeconomic and land-use impacts of climate change on agricultural production from 2030-2049. A key component is a land-use module that models land conversion. Sensitivity analysis is performed.",,Chronic trends,Adaptive,Regional,"Sequential, Spatial, and Sectoral Interactions.",Transitional (accounting for changes over time),,Adaptation measures are not explicitly modeled. Land use changes are modeled reactively to changes in profitability and land supply.,"Climate change is projected to negatively impact the Legal Amazon's economy, causing GDP loss by 2049 primarily due to decreased agricultural production. Deforestation is expected to increase. Mato Grosso and Tocantins are identified as particularly vulnerable states.","The model incorporates land supply elasticities and environmental preservation areas (RL and APPs). The analysis focuses on the Legal Amazon region, examining economic impacts and land use changes. The REGIA model is used to analyze the heterogeneous effects of climate change on agricultural productivity.",3.0
10.1016/j.euroecorev.2020.103409,Gallic & Vermandel,2020.0,Weather shocks,https://amu.hal.science/hal-02498669/document,10.1016/j.euroecorev.2020.103409,AI,Step 5,New Zealand,"GDP, agricultural output, consumption, investment, hours worked, welfare costs (consumption equivalent/willingness to pay), macroeconomic volatility, business cycles","Weather shocks (droughts, rainfall variations, soil moisture deficits), climate change (increased variance/volatility of weather shocks), technology shocks, foreign consumption shocks","IPCC climate change projections (RCPs) with altered weather shock variability, historical weather conditions","Structural Vector Autoregressive (SVAR) models and Dynamic Stochastic General Equilibrium (DSGE) models, estimated using Bayesian techniques, are used to analyze the macroeconomic impacts of weather shocks. Simulations are conducted under historical weather conditions and IPCC climate change scenarios.",,Acute shocks,Adaptive,,Sectoral Interactions,Transitional (accounting for changes over time),Other,"Time-varying land productivity is incorporated, affected by drought and farmer expenditures. Agricultural spending can increase land productivity, but adaptation is not explicitly modeled in welfare cost calculations.","New Zealand's GDP and agricultural output are significantly impacted by weather shocks, with climate change exacerbating negative welfare effects by increasing the variability of macroeconomic variables and inducing costly business cycles. Adverse weather shocks cause agricultural production to contract, leading to declines in consumption and investment, and an increase in hours worked.","The analysis uses a dynamic stochastic general equilibrium (DSGE) model to examine the short-term macroeconomic effects and welfare costs of weather shocks, particularly droughts, under different climate scenarios. Weather is treated as an exogenous process.",3.0
10.3390/cli8110123,Amarasinghe U. et al.,2020.0,How do floods and drought impact economic growth and human development at the sub-national level in india?,found,10.3390/cli8110123,AI,Step 5,India,"GSDP, HDI, Economic Growth; Impacts of floods and droughts; Sectoral Impacts (Agriculture & Non-Agriculture).",Floods; Droughts; Rainfall variability (above/below average monsoon); Groundwater Over-exploitation; Natural Disasters; Climate Change; Area Exposure (FLEA/DREA).,Historical flood and drought exposure data from satellite imagery between 2001-2015.,Fixed-effect panel regression analysis using satellite data on flood and drought exposure from 2001-2015 across 19 major Indian states. Two-stage least-squares regression with rainfall-based instrumental variables addresses potential endogeneity.,Econometric,Acute shocks,Adaptive,Regional,,Transitional (accounting for changes over time),,"Impacts of flood and drought exposure on GSDP, sectoral GDP per capita, and HDI are assessed using state and time fixed effect panel regression models. The analysis uses satellite data to estimate flood and drought exposure, examining intra-country impacts of these disasters.","Floods and droughts in India have varying regional impacts on GSDP and HDI. Droughts have a more significant sub-national economic impact than floods. Floods tend to positively influence non-agriculture sector GSDP, whereas droughts generally have a negative impact on GSDP, particularly in non-agricultural sectors. Sub-national analysis is crucial.","The analysis highlights the importance of sub-national level assessments for effective climate change mitigation and adaptation, and finds regional variations in the impact of floods and droughts on GSDP and HDI, suggesting adaptation strategies need to be tailored to specific regions. Groundwater recharge from floods may explain regional variations.",4.0
10.1038/s41467-020-18797-8,Calel et al.,2020.0,Temperature variability implies greater economic damages from climate change,found,10.1038/s41467-020-18797-8,AI,Step 5,Not specified; global analysis.,"Economic damages (in USD, trillions); risk premia.",Aleatory uncertainty (temperature variability); epistemic uncertainty (equilibrium climate sensitivity).,Deterministic and stochastic models; RCP forcings.,"Climate-economy model incorporating stochastic temperature behavior, calibrated to historical data, to compare economic damages and risk premia under different levels of uncertainty.",Stylised,Chronic trends,,Global,,Transitional (accounting for changes over time),,Not explicitly addressed; the focus is on quantifying climate change impacts and uncertainty in temperature projections.,"Models that account for temperature variability reveal significantly larger economic damages than previously estimated, potentially in the trillions of dollars. This increased uncertainty suggests greater benefits from adaptation.",Current climate-economic models often underestimate economic risks by neglecting aleatory uncertainty. The risk premium quantifies the cost of this uncertainty.,2.0
10.1016/j.wroa.2024.100223,Ross A.G. et al.,2024.0,A macro-level analysis of the socio-economic impacts of climate change driven water scarcity: Incorporating behavioural and resilience aspects,found,10.1016/j.wroa.2024.100223,AI,Step 5,Germany,GDP; Employment; Investment; Water Use; Sectoral Impacts; Economic Resilience,Water Scarcity; Drought; Temporal Water Scarcity Events; Investment Foresight,"Myopic, Imperfect Foresight, and Perfect Foresight; Water scarcity scenarios","A dynamic multi-sectoral Computable General Equilibrium (CGE) model called DEMACRO-ESS, parameterized on a 2020 Social Accounting Matrix (SAM) for Germany with monthly frequency, is used to simulate the macroeconomic impacts of water scarcity. The model incorporates sector-specific analyses and various investment behaviors to estimate sectoral impacts on GDP, employment, and water use. It features multi-level CES production functions and includes water and land as natural capital.",,Acute shocks,Adaptive,Regional,Sectoral Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation is modelled through different investment behavior specifications (perfect foresight, myopic, and imperfect foresight). Foresight and resilience are incorporated via investment closures.","Foresight in firms' investment behavior significantly impacts economic outcomes during temporal water scarcity events. Lack of foresight amplifies negative effects on GDP, investment, and employment. Agriculture consistently suffers the most. Prioritizing resilience-building measures across all sectors is crucial.","The analysis models the macroeconomic impacts of water scarcity in an economy, focusing on resilience as the capacity to recover from disturbances. Policy recommendations, while empirically focused on Germany, are intended to be indicative for other European nations and regions. The analysis represents cumulative impacts over the simulation period.",3.0
10.3390/ijerph9020610,Simane et al.,2012.0,Building Climate Resilience in the Blue Nile/Abay Highlands: A Framework for Action,https://pdfs.semanticscholar.org/644c/fdc787b880cb381472912f6ebb2c45529cd1.pdf,10.3390/ijerph9020610,AI,Step 5,"Unspecified. The notes suggest a focus on developing countries with significant agricultural sectors, but no specific country or group of countries is mentioned.","GDP growth, climate resilience, carbon neutrality, green economy.",Climate Change; Human-Induced Warming; Rain-fed Agriculture Dependence; Low Economic Development; High Population Growth; Agro-ecosystem Sensitivity; Land Degradation; Soil Constraints; Low Investment; Small Landholdings,This document does not explicitly mention specific socioeconomic or climate scenarios used in any analyses.,Methodology includes agro-ecosystem analysis differentiated by geography and socio-economic factors; FAO data-based land degradation assessment using soil characteristics to determine land suitability; participation index and regression analysis of farmer involvement in watershed management; and evaluation of a local-level environment action planning tool.,,Chronic trends,,Local,,,,"Adaptation is approached through agro-ecosystem analysis, land degradation assessment using FAO data and soil characteristics, farmer participation analysis in watershed management, and evaluation of local environment action-plan development tools.","Ethiopia is highly vulnerable to climate change due to its low economic development, agricultural dependence, and high population growth. Climate change impacts manifest as increased droughts and floods, damaging livelihoods. Building resilience requires adaptation, which is dependent on access to resources. Certain agroecosystems (AES 5 and 1) exhibit low adaptive capacity, compounded by limited community participation in adaptation, especially in monitoring and evaluation. Factors like training, extension worker visits, farmer perception of benefits and responsibility, and community-based projects positively influence participation. While AES 3 is most suitable for agriculture, increased crop suitability may paradoxically increase vulnerability. AES 1 and AES 5 have the highest degradation rates.","The notes describe a study focusing on building climate resilience in the Choke Mountain watersheds of the Blue Nile/Abay Highlands of Ethiopia, utilizing a community-based ecosystem approach. The analysis is localized, concentrating on household vulnerability related to agriculture within six agroecosystems. The study emphasizes local-level adaptation strategies, including both 'soft' (knowledge, organizational capacity) and 'hard' technologies. The notes state the information is not generalizable to a national macroeconomic or macro-fiscal scale.",1.0
10.3390/en14144189,Peng et al.,2021.0,Heterogeneous Impacts of Extreme Climate Risks on Global Energy Consumption Transition: An International Comparative Study,found,10.3390/en14144189,AI,Step 5,101 countries/regions,Energy consumption transition; renewable energy adoption; fossil fuel reduction; energy consumption structure; impact assessment.,"Extreme climate risks, Global Climate Risk Index (GCRI), energy consumption, socio-economic impacts, short-term/long-term climate risks, governance quality, GDP per capita, urbanization, industrialization, trade openness, fossil energy resources, economic development, business cycle fluctuations, oil price fluctuations","Varying economic cycle (boom/recession), oil price trends (rise/fall), GDP per capita (high/low), median fossil energy production (resource-rich/poor).","Methodology: The study employs panel data analysis of 101 countries/regions from 2006-2019 using fixed-effects models (country and year). Spatial panel models are also considered. An instrumental variable approach using coastline length addresses endogeneity via two-stage least squares regression. Stability is assessed via augmented Dickey-Fuller tests. Sub-sample regressions based on fossil energy production, economic development level, GDP per capita, economic cycle, and oil price trends are performed. Hausman test validates the fixed-effects specification.",Econometric,,,Global,,Transitional (accounting for changes over time),,"The analysis focuses on the impact of climate risk on energy consumption transition. Statistical methods include panel data models with fixed effects, spatial panel models, instrumental variable techniques to address endogeneity, and sub-sample regressions based on various economic and resource-related factors. Governance quality's moderating effect is examined.","Climate risk, particularly long-term risk, drives a transition in energy consumption away from fossil fuels and towards renewable energy. This effect is moderated by governance quality, which can weaken the transition. The impact of climate risk on energy transition is more pronounced in resource-rich and low-income countries, during economic recessions, and when oil prices are falling; high-income countries do not show the same positive correlation. Areas with strong economies and coastal locations display greater inclination to respond through transition.","Germanwatch's Climate Risk Index is employed, with lagged climate risk variables used in analysis. Control variables include GDP per capita, urbanization, industrialization, and trade. Better governance is theorized to foster proactive energy policies. Data includes coastline length from ChartsBin. Resource-rich/poor status is determined by median fossil energy production. Economic booms may compensate for climate risk losses, while recessions can spur renewable energy consumption via industrial policies and environmental regulations.",1.0
10.1007/s11027-010-9266-6,Aaheim A. et al.,2011.0,A macroeconomic analysis of adaptation to climate change impacts on forests in India,https://core.ac.uk/download/pdf/207905869.pdf,10.1007/s11027-010-9266-6,AI,Step 5,India,"Macroeconomic implications, including GDP, wages, capital prices, unemployment, timber supply, biomass, harvest, and production costs, particularly in the forestry sector and across different zones of India.","Climate change impacts (temperature, precipitation), biomass growth variations across zones, market barriers (factor immobility), population growth, natural resource availability, and technological change.","A2_ASF, CCI, CCG","Integrated modeling approach using IBIS (ecological model) and GRACE-IN (computable general equilibrium model) to assess climate change impacts on Indian forests and macroeconomic implications, dividing India into six zones to account for regional variations and adaptation barriers. GRACE-IN is calibrated to the IPCC A2_ASF scenario and includes three regions, India, EU and ROW.",,Chronic trends,Permanent,Regional,Sectoral Interactions,Transitional (accounting for changes over time),,"Market responses (price and rent adjustments), factor substitution, and forest management optimization in response to climate change impacts on forestry, including changes in biomass, sawtimber, and rotation time.","Climate change impacts on Indian forestry vary regionally, affecting biomass, timber supply, wages, and capital prices differently across zones. Forestry's small GDP contribution means minor overall macroeconomic impacts, but localized unemployment is possible. Increased biomass growth can paradoxically increase deforestation risk due to market effects.",The study highlights the potential for increased biomass growth to lower timber prices and increase deforestation risk. Factor price responses vary across zones due to mobility constraints. Climate change may shift India from a net timber importer to a net exporter. ,3.0
10.5194/hess-24-451-2020,Gu L. et al.,2020.0,Projected increases in magnitude and socioeconomic exposure of global droughts in 1.5 and 2&thinsp;°C warmer climates,found,10.5194/hess-24-451-2020,AI,Step 5,"Argentina, Australia, Canada, China, United States, South Africa, Brazil, and Mexico.",GDP exposure; Drought risk; National level; Socioeconomic impacts; Population exposure; Warming levels.,"Climate warming; 1.5°C & 2.0°C warming targets; RCP scenarios; Drought (frequency, severity, duration); Evaporative demand; Precipitation changes; Oceanic forcing/monsoon weakening; Hydro-meteorological variables; Population & GDP growth (exacerbating exposure).","RCP2.6, RCP4.5, RCP8.5, SSPs (Shared Socioeconomic Pathways), 1.5°C warming level, 2.0°C warming level.","The study projects drought risks by combining climate scenarios from 13 CMIP5 global climate models under RCPs 2.6, 4.5, and 8.5 with socioeconomic projections from Shared Socioeconomic Pathways (SSPs). Drought characteristics are identified using the Standardized Precipitation Evapotranspiration Index (SPEI), specifically SPEI-3, combined with run theory. Copula functions model drought severity and duration concurrently. Socioeconomic exposure is estimated using multi-year average populations and GDPs during 30-year periods determined by different warming levels (1.5°C and 2.0°C). Spatially explicit global SSPs assess population and GDP exposure, using nation-wide population and GDP fractions. Mean changes in drought return periods are spatially aggregated at a national scale for eight hotspot countries. The analysis considers dynamic characteristics by examining differences in population and GDP between fixed 30-year warming periods.",Stylised,Chronic trends,Adaptive,Global,,Transitional (accounting for changes over time),,"Consideration involves using climate scenarios (RCPs) from CMIP5 models; assessing drought characteristics (severity, duration, return periods) via SPEI and run theory; integrating SSPs to model population and GDP exposure; analyzing socioeconomic exposures at different warming levels (1.5°C and 2.0°C) and across different SSPs; and examining changes in drought risks for hotspot countries.","Limiting global warming to 1.5°C instead of 2°C significantly mitigates drought impacts and socioeconomic exposures globally, particularly in regions like Southeast Asia, the Mediterranean, southern Africa, southern North America, and South America. Under various warming scenarios, large percentages of the global population and GDP will be exposed to increasing drought risks, with some countries potentially facing 100% exposure. Tropical regions, including Mexico and Brazil, are projected to experience particularly severe increases in drought risks. While a 1.5°C warming scenario still leads to increased drought risk across a significant portion of global landmass, GDP exposure increases substantially more at 2.0°C. Drought risks double across a large amount of global landmass at both warming levels.","Quantifies drought impacts under 1.5°C and 2.0°C warming using a bivariate framework (severity & duration) and spatially explicit SSPs for population/GDP. Multi-model ensembles are used to reduce bias across RCP/SSP scenarios. Drought exposure varies spatially; prosperous regions see similar changes in GDP/population exposure, while low-density countries face disproportionate impacts due to poor resilience. The study uses a Penman-Monteith model for evapotranspiration, considering dynamic socioeconomic changes (unlike previous single-year studies). It acknowledges and emphasizes the importance of model uncertainty and the magnitude of drought risk changes. Analysis includes country-specific land fraction bins and visualizations of drought characteristics, return periods, and socioeconomic exposure.",1.0
10.1016/j.ecolecon.2021.107156,Olper et al.,2021.0,"Weather, climate and economic outcomes: Evidence from Italy",https://www3.nd.edu/~nmark/Climate/Weather--climate-and-economic-outcomes--Evidence-from_2021_Ecological-Econom.pdf,10.1016/j.ecolecon.2021.107156,AI,Step 5,Italy,"GDP per capita, agricultural GVA per worker (productivity), growth rates, impacts of climate change (temperature deviations) at the provincial (NUTS3) level, and projections (2050, 2100).","Temperature, precipitation, weather shocks, and climate change (RCP 4.5 and RCP 8.5) with deviations from historical norms.",RCP 4.5 and RCP 8.5; COSMO-CLM model forced by the CMCC-CM model.,"Panel data econometrics on 110 Italian provinces (NUTS3) from 1980-2014. Employs linear and non-linear (quadratic, fractional polynomial) specifications, fixed effects models, ARDL models, and cross-validation techniques (forecast, backcast, k-fold CV) to assess predictive performance. Standard errors are clustered at the province or province-year level. Half-panel Jackknife fixed effects (XTSPJ) estimator is sometimes used.",Econometric,Acute shocks,Permanent,Local,,Transitional (accounting for changes over time),,Adaptation isn't explicitly modeled or directly included as a variable within the econometric specifications.,"Climate change impacts in Italy are projected to be heterogeneous, with potential GDP gains in the North and losses, especially in agriculture, in the South. Non-linear temperature effects are prominent. Optimal temperature for GDP growth is between 12-14°C for GDP per capita and agricultural GVA per worker, and 17.5°C for Italian GDP specifically. Model specification significantly influences projections, highlighting uncertainty. Agriculture is particularly vulnerable. Poorer provinces are disproportionately affected.",The study explores linear and non-linear effects of weather variables and addresses model uncertainty and biases. Impacts on agricultural GVA per-worker growth are more significant than on GDP per-capita growth. Future research should model adaptation strategies.,4.0
10.1007/s10584-014-1086-3,Rosselló J. & Santana-Gallego M.,2014.0,Recent trends in international tourist climate preferences: A revised picture for climatic change scenarios,https://adaptecca.es/sites/default/files/documentos/complementarios/2014_climatic_change_recent_trends.pdf,10.1007/s10584-014-1086-3,AI,Step 5,178 countries,Tourism; international tourism flows/demand; tourist arrivals/departures; destination choice; competitiveness of tourism destinations; economic impact of tourism; GDP per capita; distributional effects.,"Climate change (temperature, precipitation); GDP/GDP per capita (growth); population; tourist preferences/arrivals.","A2, B1, and B2.","A demand model for international tourism is estimated using regression analysis and a gravity model with fixed effects. The analysis uses data from 178 countries (1995-2010). Climate change impacts are assessed by simulating tourism flows under IPCC scenarios (A2, B1, B2) for 2080, relative to a 2007 baseline, based on GDP, population, temperature, and precipitation projections. Time trends are used to capture changing climate sensitivity.",Econometric,Chronic trends,Adaptive,Global,Spatial Interactions,Transitional (accounting for changes over time),,"Climate change scenarios are used to project future tourism flows based on GDP, population, temperature, and precipitation. Tourist climate sensitivity is assessed via regression analysis, including time trends to identify potential turning points. Scenarios are simulated to estimate tourism flows in 2080 compared to a 2007 baseline.","Climate change is expected to shift international tourism patterns, decreasing attractiveness of warm destinations and increasing attractiveness of high-latitude countries. An inverted U-shaped relationship exists between destination temperature and tourism demand, and a U-shaped relationship exists for origin country temperatures.","Between 1995 and 2010, optimal temperatures for tourism shifted. Economic growth can mitigate negative impacts. The sensitivity of international tourism to climate shifts is increasing. The analysis projects varied effects on tourist arrivals, with notable spatial distribution changes.",2.0
10.1007/s00148-022-00924-y,Helbling & Meierrieks,2023.0,Global warming and urbanization,https://www.econstor.eu/bitstream/10419/265120/1/Full-text-article-Helbling-et-al-Global-warming-and.pdf,10.1007/s00148-022-00924-y,AI,Step 5,118 countries were considered.,"Agricultural productivity; Urbanization (levels, rate, migration); Economic growth & development (via urbanization); Public goods (rural vs. urban); Temperature changes impact.","Global warming (increasing temperatures), urbanization, economic downturns, adverse initial conditions (lower adaptive capacity, higher vulnerability), other weather/climate phenomena (heat waves, droughts, floods), initial GDP, initial employment in agriculture, initial urban bias, cluster (poor conditions).",No specific socioeconomic or climate scenarios are mentioned in the notes extracted from the paper.,"The methodology employs panel vector error correction models, country-level panel data analysis from a 118-country sample (1960-2016), and a push-pull framework of internal migration. It links temperature to urbanization rates and formulates hypotheses on their relationship. The dataset requires a fully balanced structure and averages weather data to correct for grid and elevation disparities. Cross-sectional dependence is assessed using Pesaran et al. (2008) and Pesaran (2015) tests. Unit root tests by Pesaran (2007), Herwartz and Siedenburg (2008), and Demetrescu and Hanck (2012) assess urbanization and temperature data, robust against cross-sectional dependence, serial correlation, and heteroskedasticity. Fixed effects regression models with Driscoll-Kraay standard errors employ various controls and interactions for time and regional fixed effects. Dynamic fixed-effects and OLS estimations analyze short-run and long-run impacts with controls like GDP p.c., population size, democracy, and education. Cointegration analysis addresses omitted variable bias using Oster's (2019) method. Robustness checks include additional controls, alternative variable measures, and lagged variables. K-means cluster analysis groups countries by initial conditions, followed by panel vector error correction models to explore interactions between variables. Dynamic panel-data analysis via a 2-step GMM system estimator incorporates fixed effects and multiple controls, with robustness checks involving agro-climatic variables.",Econometric,Chronic trends,Permanent,Global,Spatial Interactions,Transitional (accounting for changes over time),,"The study focuses on the relationship between temperature increases and urbanization. It uses econometric methods like panel data analysis, fixed effects regressions, and GMM estimation. These methods control for various factors, including socio-economic and political variables. The analysis examines both short-run and long-run impacts and addresses potential biases and robustness. The research groups countries by initial conditions, including temperature and economic development, to analyze urbanization changes.","Higher temperatures correlate with and are linked to increased urbanization, particularly in the long run, especially in poorer, agriculture-dependent countries with an urban bias. This relationship is stronger in the long run than the short run, with some evidence suggesting a short-term negative association. Initial conditions like temperature, urbanization, GDP per capita, agricultural employment, and urban bias significantly influence urbanization trends. Temperature and urbanization data exhibit statistical properties requiring specific econometric techniques. Rapid urbanization and global warming are concurrent trends. Reducing greenhouse gas emissions and mitigating rural vulnerabilities to global warming are crucial to manage the potentially dangerous consequences of climate-induced urbanization.","The study investigates the relationship between global warming and urbanization, particularly focusing on agriculture and public goods provision as mediating channels. Warming contributes to agricultural productivity losses and pro-urban shifts in public goods provision, driving rural-urban migration, especially in countries with economic and institutional underdevelopment and strong agricultural dependence. However, temperature increases can also disincentivize migration by raising costs and worsening liquidity constraints, with long-run effects potentially being more pronounced. The analysis uses econometric methods to account for cross-sectional dependence, non-stationarity, and cointegration, employing various measures of temperature and urbanization for robustness. The effects are moderated by urbanization, initial conditions (poverty), and the mediators of value added in agriculture and public goods provision equity. The relationship between warming and urbanization is particularly strong in poorer economies lacking adaptive capacity. The study period is 1960-2016, excluding small island nations, newly independent countries, and city-states.",1.0
10.1016/j.worlddev.2021.105793,Eskander & Barbier,2022.0,Long-term impacts of the 1970 cyclone in Bangladesh,http://eprints.lse.ac.uk/113475/1/EskanderBarbier2021_WD_AAM2.pdf,10.1016/j.worlddev.2021.105793,AI,Step 5,Bangladesh,"Household economics; Consumption (Solvent, Ln(Expenditure)); Health (Ln(Health), illness-free life-years); Schooling (Ln(Schooling)); Life Expectancy; Cognitive Ability; Unemployment; Purchasing Power; Commodity Prices.","1970 cyclone Bangladesh, long-term effects, exposure risks, Barisal, Noakhali, 1971 war, 1974 famine, rural area vulnerabilities, market failures, food price speculation, natural disasters, droughts, earthquakes, floods, landslides, severe monsoon floods, Cyclone Regions 1 and 2, cohort interactions, environmental conditions.",1970 Cyclone Exposure.,"The analysis uses a natural experiment design exploiting the 1970 cyclone in [country name implied from context] to assess long-term impacts on health, schooling, and consumption. The methodology involves regression analysis using variations in the timing and geography of cyclone exposure, incorporating region and cohort dummies, and controlling for household and regional-level variables, as well as other potentially confounding events (war, famine). Heckman selection models are used to address sample selection bias related to agricultural households. The regressions include fixed effects for year and location (Thana) and often cluster standard errors at the district level. The analysis considers birth cohorts from 1964-1980 and excludes specific regions. Parallel trends are assessed using regression analysis. Several empirical specifications are used, including interactions with rural location, parental schooling, and other variables. Data is sourced from the EM-DAT database. Placebo regressions are conducted for robustness.",Econometric,Acute shocks,Permanent,Local,Sequential Interactions,Transitional (accounting for changes over time),,"The study examines the long-term impacts of a past cyclone, essentially treating it as a historical climate shock. Statistical methods seek to isolate the cyclone's effects from other concurrent events (war, famine), using variations in exposure intensity and timing across different regions and birth cohorts. Modelling strategies incorporate controls for confounding factors, sample selection bias (related to agricultural activities), and household/regional characteristics. Interactions between cyclone exposure and rural location, as well as parental schooling, are also considered. The analysis accounts for fixed effects related to year and location.","Children exposed to the 1970 cyclone, particularly those in rural areas and from less-educated households, experienced long-term adversities in health, schooling, and consumption. Severe cyclone exposure had significant negative impacts on these outcomes for cohorts born between 1969 and 1971 in the Barisal and Noakhali regions. Rural households face greater adversity due to infrastructure deficits, with government investments in education and infrastructure potentially mitigating the long-term harms. While parental education doesn't always show a significant mitigating effect, schooling in general can play a remedial role. The analysis acknowledges potential identification issues due to statistically significant effects observed in placebo cyclone cohorts and focuses on testing the parallel trends assumption for causal inference. Cyclone exposure also demonstrates differential impacts based on rural location and parental schooling, with some specifications showing significant negative effects on consumption, particularly when interacted with region and cohort variables.","This paper analyzes the long-term individual-level impacts of the 1970 cyclone in Bangladesh, focusing on health, education, employment, and income. While it doesn't provide direct macroeconomic or macro-fiscal analysis or adaptation costs/benefits, the paper's findings on individual outcomes (e.g., 'Healthy', 'Health', 'Educated', 'Schooling', 'Solvent') could potentially be used as proxies for productivity and, indirectly, have macroeconomic relevance. The analysis uses rural/urban location as a proxy for amenities and includes controls for location, gender, parental schooling, age, and historical events (1971 war, 1974 famine). The interaction terms between cyclone exposure and region/cohort variables suggest geographically and historically varying impacts. Low R-squared values and insignificant coefficients for cyclone region indicators on some outcome variables raise concerns about explanatory power. Placebo tests are conducted to assess the robustness of the findings. The study focuses on historical data, which can inform risk assessments. Public programs for females and the poor, along with healthcare and schooling infrastructure, are suggested as protective measures. The adversities of cyclone exposure are underestimated.",1.0
10.24818/EA/2022/61/597,Barbu T.C. et al.,2022.0,THE ASSESSMENT OF CLIMATE RISK IMPACT ON THE ECONOMY: A PANEL DATA APPROACH,found,10.24818/EA/2022/61/597,AI,Step 5,22 countries (16 EU members and 6 OECD members),GDP; Sovereign Risk (CDS); Stock Market Capitalization; Competitiveness; Inflation; Unemployment,"Climate Risk, macroeconomic factors (economic growth, inflation, unemployment), governance (corruption, political stability, financial freedom)","No specific socioeconomic or climate scenarios were used; instead, panel data analysis was conducted on historical data from 2008-2019.",Panel data analysis using quantile and logistic (LOGIT) regressions. Techniques used to ensure data quality and validity: unit root tests for stationarity and techniques assessing multicollinearity,Econometric,,,Regional,,Transitional (accounting for changes over time),,Adaptation is not explicitly mentioned; the focus is on assessing the impact of climate risk on economic indicators.,"Climate risks negatively affect stock market capitalization and sovereign risk, particularly in countries with lower credit default swap (CDS) levels or mid-range market capitalization. Climate risk's impact on market capitalization is insignificant at extreme ends of market capitalization. Climate events increase country risk primarily in low budget deficit contexts","The study analyzes the impact of climate risk, particularly in relation to the European Green Pact and a standardized global carbon price, on macroeconomic and financial variables. A key limitation acknowledged is the difficulty in accurately estimating climate change impacts on sovereign risk, particularly in high-risk countries.",3.0
10.21919/remef.v17i4.794,Lucatello S. & Sánchez R.,2022.0,"Climate Change in North America: Risks, Impacts, and Adaptation. A Reflection Based on the IPCC Report AR6 – 2022; [Cambio climático en América del Norte: riesgos, impactos y adaptación. Una reflexión basada en el Informe AR6 del IPCC – 2022]",https://www.redalyc.org/journal/4237/423780639002/423780639002.pdf,10.21919/remef.v17i4.794,AI,Step 5,139 countries,"GDP growth, Business investment, Productivity, Tourism, Infrastructure investment incentives, Economic sector climate sensitivity, Losses, Adaptation costs.","Increasing temperatures, tropical cyclones, temperature and precipitation changes, rising sea levels, CO2 concentration rise, water shortages, renewable energy impacts, worker productivity decline, damage to physical capital, ski resort impacts, agricultural productivity loss, health effects, infrastructure risks, supply-chain disruptions, trade disruption, emergency expenditures, property and financial markets effects.",IPCC AR6 scenarios were analyzed using an intertemporal CGE trade model.,"Methodology involves a reflection based on the IPCC AR6 report (2022) and the use of an intertemporal CGE trade model to assess the impact of global warming on GDP growth for 139 countries by decade and over the long run. Impacts considered include agricultural productivity loss, sea level rise, and health effects.",,Chronic trends,Permanent,Global,Sectoral Interactions,Transitional (accounting for changes over time),,"Adaptation is not explicitly mentioned in the provided extracts. The paper focuses on modelling the *effects* of global warming on GDP using a CGE model, drawing on the IPCC AR6 report. The model incorporates negative impacts such as agricultural productivity loss, sea level rise, and health effects across 139 countries. There is no indication of how or whether adaptation strategies are integrated into the model or analysis.","Extreme weather events in Mexico are increasing. Climate change impacts in North America, including the U.S., Canada, and Mexico, are expected to worsen with greater frequency and intensity of extreme weather. System transformation for adaptation is slow and uneven across North America, facing challenges related to national political support and subnational regional disparities.","Overview of existing information; lacks new analysis and primarily summarizes other studies. Focuses on North America, highlighting health impacts (though lacking comprehensive macro-fiscal assessment, especially concerning mental health in Mexico) and varying adaptation capacities across Canada, the USA, and Mexico due to different development levels, with adaptation receiving less attention than mitigation.",1.0
