DOI,gemini,openai,common,priority,passfail
10.1016/j.heliyon.2024.e36406,XV XN,XV XN,XN XV,0,NA
10.1128/aem.00825-23,XN,XC XV XN,XN,0,NA
10.32479/ijeep.17474,XN,XV XN,XN,0,NA
10.3390/su12062423,XC XN,XC XN XA,XN XC,0,NA
10.1080/09535314.2012.761953,RE,Ambiguous,Ambiguous,4,Failed
10.1175/1520-0442(2002)015<1573:MIONHC>2.0.CO;2,XC XV XN,XC XN,XN XC,0,NA
10.3390/rs13020167,XC,XC XV XN,XC,0,NA
10.5194/acp-22-14571-2022,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/gj.3780,XC XN,XC XV XN,XN XC,0,NA
10.1007/s11113-022-09710-w,XC,XC XV XN,XC,0,NA
10.1016/j.resourpol.2024.105202,XC XN,XC XN,XN XC,0,NA
10.1016/j.landusepol.2018.04.046,RF RA,XN,RA RF,3,Failed
10.1016/j.fcr.2024.109716,XN,XC XN,XN,0,NA
10.1038/s41467-019-11348-w,XC XV XN,XC XV XN,XN XC XV,0,NA
10.11113/ijbes.v6.n2.345,RF RA,XV XN,RA RF,3,Unknown
10.1007/s00442-015-3368-5,XC XN,XC XV XN,XN XC,0,NA
10.3390/su10114210,XN,XN,XN,0,NA
10.5547/01956574.39.5.dtan,XO,XC XN,Disagree,1,Failed
10.1029/2023EF003837,XV XN,XC XV XN,XN XV,0,NA
10.3390/ijerph191811286,Ambiguous,XC XN,Ambiguous,2,Failed
10.1021/es400554x,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.ecoinf.2022.101960,RE,RE,RE,10,Passed
10.1080/02508060208687040,XN,XN,XN,0,NA
10.4018/979-8-3693-5405-6,XN,XV XN XO,XN,0,NA
10.4324/9781315131818,XC,XC XN,XC,0,NA
10.1007/978-3-031-48532-9_16,XV XN,XC XV XN,XN XV,0,NA
10.1088/1742-5468/ab7a1e,RE,RE,RE,5,Failed
10.1063/5.0032273,XC,XC XV XN,XC,0,NA
10.15282/jmes.18.4.2024.8.0814,XV XN,XN,XN,0,NA
10.1002/ieam.1843,XN,XV XN,XN,0,NA
10.1016/j.jechem.2018.12.006,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.conbuildmat.2020.118470,XC XV XN,XC XN,XN XC,0,NA
10.1002/ecs2.3859,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.foreco.2022.120563,XV XN,XC XV XN,XN XV,0,NA
10.3390/plants12183256,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/geb.13928,XV XN,XC XV XN,XN XV,0,NA
10.46557/001c.25723,RE RF,XN,RE RF,3,Unknown
10.1111/gcb.16745,XO,XV XN,Disagree,6,Passed
10.1007/s00181-022-02342-1,XV XN,XN,XN,0,NA
10.1002/ldr.3376,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00338-013-1015-3,XV XN,XV XN,XN XV,0,NA
10.3390/plants13243480,XV XN,XC XN,XN,0,NA
10.1080/02626667.2017.1353217,XV XN,XN,XN,0,NA
10.1016/j.proeng.2017.03.215,XV XN,XC XN,XN,0,NA
10.1016/j.foreco.2005.05.003,XN,XC XN,XN,0,NA
10.1038/s41467-017-00890-0,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/eco.171,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.atmosres.2023.106886,XC XV XN,XC XN,XN XC,0,NA
10.1029/2017JD028212,XN,XV XN,XN,0,NA
10.1111/aen.12639,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/17565529.2019.1614897,RE,XN,RE,8,Passed
10.1016/j.eneco.2022.105829,RF RA,XN,RA RF,3,Failed
10.1007/978-3-030-00979-3_46,XV XN,XN,XN,0,NA
10.1016/j.rser.2014.07.128,XC,XC XN,XC,0,NA
10.1002/wene.501,XO,XV XN,Disagree,1,Unknown
10.1175/JAMC-D-23-0071.1,XV XN,XV XN,XN XV,0,NA
10.4324/9781315306193-1,XO,XC XN,Disagree,1,Failed
10.1109/ACCESS.2021.3052513,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apgeog.2016.10.004,XV XN,XN,XN,0,NA
10.1016/j.cclet.2024.109918,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.pecs.2023.101073,XO,XC XV XN,Disagree,1,Failed
10.1007/s00425-022-04006-x,XV XN,XN,XN,0,NA
10.3390/land11070994,XO,XC XV XN,Disagree,1,Failed
10.1016/j.pnucene.2005.05.048,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.isci.2022.104237,XO,XC XN,Disagree,1,Failed
10.1016/j.micromeso.2019.04.011,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1365-2664.2006.01148.x,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.jad.2013.07.019,XC,XC XV XN,XC,0,NA
10.1371/journal.pone.0283370,XV XN,XV XN,XN XV,0,NA
10.1175/JCLI3515.1,Ambiguous,XN,Ambiguous,7,Passed
10.1016/j.scitotenv.2022.154680,XV XN,XV XN,XN XV,0,NA
10.1038/nature11655,XC,XC XV XN,XC,0,NA
10.5194/acp-17-15069-2017,XO,XC XN,Disagree,1,Failed
10.1111/ecot.12248,XC,XC XV XN,XC,0,NA
10.3390/en16155780,XN,XN,XN,0,NA
10.3389/fenvs.2024.1380342,XN,XC XN,XN,0,NA
10.1007/BF01098373,XO,XV XN XA,Disagree,1,Unknown
10.1007/s00531-008-0318-z,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.combustflame.2023.112812,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10980-021-01320-9,XN,XV XN,XN,0,NA
10.1002/ijfe.3048,RE RF,XN XA,RE RF,3,Failed
10.1038/s41893-018-0106-0,XV XN,XC XN,XN,0,NA
10.1007/s10584-022-03382-3,XO,XC XV XN,Disagree,1,Failed
10.3390/su152014822,XO,XV XN,Disagree,6,Passed
10.1016/j.palaeo.2018.05.022,XN XO,XC XV XN,XN,0,NA
10.3897/ejfa.2024.125630,RA,XV XN,RA,8,Passed
10.1186/s12870-016-0850-0,XV XN,XC XV XN,XN XV,0,NA
10.1017/S1355770X20000066,XC,XC XN,XC,0,NA
10.1111/j.1365-2486.2011.02606.x,Ambiguous,XV XN,Ambiguous,7,Passed
10.1016/j.energy.2016.02.103,XV XN,Ambiguous,Ambiguous,2,Failed
10.1007/s10530-021-02703-4,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1098/rspb.2023.2557,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00704-021-03700-2,XV XN,XN,XN,0,NA
10.1111/j.1365-2699.2009.02263.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1149/2.011204jes,XC XN,XC XV XN,XN XC,0,NA
10.1080/00045601003595420,XN,XV XN,XN,0,NA
10.1002/ajim.23078,XC,XC XV XN,XC,0,NA
10.1016/j.jenvman.2024.123845,XV XN,XC XV XN,XN XV,0,NA
10.1007/s40641-016-0037-7,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1175/JCLI-D-23-0420.1,XN,XV XN,XN,0,NA
10.1371/journal.pone.0254836,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envsci.2021.03.017,XC,XC XN,XC,0,NA
10.1108/IJOEM-06-2022-1019,RE RF,XC XN,RE RF,8,Passed
10.1002/2015GL063497,XN,XC XV XN,XN,0,NA
10.1016/j.rcim.2022.102389,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-3-030-28076-5_1,XO,XC XV XN,Disagree,1,Failed
10.1016/j.apenergy.2023.121139,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rser.2015.07.185,XC,XV XN,Disagree,1,Failed
10.1017/bhj.2021.30,XC,XC XV XN,XC,0,NA
10.3390/cli8080092,XO,XV XN,Disagree,6,Passed
10.3390/su151612445,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.habitatint.2016.05.009,XN,XC XV XN,XN,0,NA
10.1016/j.envint.2021.106936,XV XN,XV XN,XN XV,0,NA
10.1007/s00468-008-0259-y,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3188/szf.2014.0140,XC XN,XC,XC,0,NA
10.3354/meps07696,Ambiguous,XV XN,Ambiguous,7,Passed
10.1111/gcb.12408,XV XN,XC XV XN,XN XV,0,NA
10.1007/s100219900083,XO,XC XV XN,Disagree,1,Failed
10.1007/s11186-005-1993-4,XO,XV XN,Disagree,1,Failed
10.1016/j.scitotenv.2022.156990,XN XO,XC XV XN,XN,0,NA
10.22059/poll.2018.252214.391,XC XN,XC XN,XN XC,0,NA
10.3959/2021-20,XC XV XN,Ambiguous,Ambiguous,7,Passed
10.22094/JOIE.2020.677867,XC XN,XC XN,XN XC,0,NA
10.1186/s13705-015-0054-8,XC XN,XC XN,XN XC,0,NA
10.1007/s100219900008,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.solener.2023.111842,XC XV XN,XC XN,XN XC,0,NA
10.1080/13504851.2019.1676384,XN,XC XV XN,XN,0,NA
10.3390/f14112142,XV XN,XV XN,XN XV,0,NA
10.3389/fclim.2021.710546,RF RA,XN,RA RF,3,Failed
10.1007/s10708-020-10270-9,RE,XC XN,RE,3,Failed
10.1017/S1355770X17000407,RE RF RA,XN,RE RA RF,8,Passed
10.28924/2291-8639-23-2025-2,XC,XC XN,XC,0,NA
10.1023/A:1016144718218,XC XV XN,XN,XN,0,NA
10.1016/j.landusepol.2010.11.003,XC XN,XC XN,XN XC,0,NA
10.1016/S0301-4215(01)00033-7,XO,XV XN,Disagree,1,Failed
10.1111/ajae.12502,XN,XN,XN,0,NA
10.1175/0003-0007-82.6.S1,XO,XV XN XA,Disagree,6,Passed
10.1111/j.1654-1103.2012.01437.x,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.heliyon.2023.e23473,XC XV XN,XC XN XO,XN XC,0,NA
10.1142/S1793524519500876,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.scitotenv.2024.175856,XC XV XN,XV XN,XN XV,0,NA
10.3850/IAHR-39WC2521716X20221458,XV XN,XN,XN,0,NA
10.1016/j.apenergy.2016.12.109,XC,XV XN,Disagree,1,Failed
10.1016/B978-0-7020-7959-7.00061-0,XC,XC XV XN,XC,0,NA
10.1029/2020EA001527,XC,XC XV XN,XC,0,NA
10.1016/j.enpol.2020.111425,XN,XN,XN,0,NA
10.1017/bca.2022.19,RE RF RA,XN XA,RE RA RF,3,Failed
10.1016/0301-4215(92)90124-K,Ambiguous,XC XV XN,Ambiguous,2,Unknown
10.1109/IC3I59117.2023.10397919,XC XN,XC XN,XN XC,0,NA
10.1111/1442-1984.12498,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.foreco.2019.117762,XO,XC XV XN,Disagree,1,Failed
10.1080/09670874.2019.1654146,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/10095020.2023.2238782,XV XN,XV XN,XN XV,0,NA
10.1061/(ASCE)NH.1527-6996.0000141,RA,XN XA,RA,3,Failed
10.1111/cobi.12086,XV XN XO,XC XN,XN,0,NA
10.1002/ecs2.4160,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.redox.2015.08.012,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/pbi.14245,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0033301,XV XN,XC XV XN,XN XV,0,NA
10.1038/NCLIMATE2837,RE,XV XN,RE,8,Passed
10.3390/w16213117,XN XO,XV XN,XN,0,NA
10.1002/adtp.201900161,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/ecog.07081,XC XV XN,XC XV XN,XN XC XV,0,NA
10.2478/eoik-2022-0011,XC,XC XN,XC,0,NA
10.3390/land13060784,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.rser.2017.05.034,XN,XC XN,XN,0,NA
10.1016/j.scitotenv.2019.02.432,RE,XV,RE,3,Failed
10.1007/978-3-319-26950-4_10,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.quaint.2012.05.047,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.clrc.2020.100006,XV XN,XN,XN,0,NA
10.1109/IGARSS46834.2022.9883707,XC,XC XV XN,XC,0,NA
10.1093/femsec/fiaa087,XN XO,XC XV XN,XN,0,NA
10.1016/j.indcrop.2020.113175,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10310-016-0530-9,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.ecolecon.2020.106780,XC XN,XC XN,XN XC,0,NA
10.3390/rs13122338,XC XV XN,XC XN,XN XC,0,NA
10.9719/EEG.2021.54.6.649,XN,XN,XN,0,NA
10.1016/j.robot.2015.04.004,XC,XC XV XN,XC,0,NA
10.26650/ppil.2020.40.2.0088,XO,XC XV XN,Disagree,6,Passed
10.1007/s10341-021-00584-4,XN,XC XV XN,XN,0,NA
10.1002/sd.1722,RE RF,XV XN,RE RF,3,Unknown
10.1016/j.isprsjprs.2022.07.007,XV XN,XV XN,XN XV,0,NA
10.3155/1047-3289.58.6.735,XO,XV XN XA,Disagree,6,Passed
10.1016/j.ufug.2013.01.006,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.actao.2022.103813,XN,XV XN,XN,0,NA
10.1002/eap.2614,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envres.2020.109512,XN,XN,XN,0,NA
10.1016/j.ijhydene.2023.06.018,XO,XC XN,Disagree,1,Failed
10.3390/su13105664,XN,RE,RE,3,Failed
10.3354/meps11961,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.buildenv.2011.07.027,XN,XV XN,XN,0,NA
10.1016/j.ppees.2016.08.002,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/rs14164000,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1186/s13018-019-1201-2,XC XN,XC XV XN,XN XC,0,NA
10.1021/acs.energyfuels.2c01293,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1175/JCLI-D-13-00326.1,XN,XN,XN,0,NA
10.1029/2022JC019002,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1021/acsaem.0c02622,XC XN,XC XN,XN XC,0,NA
10.1080/00393630.2024.2358592,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.3389/fmars.2024.1383063,XV XN,XN,XN,0,NA
10.1016/j.jia.2023.05.035,XC XV XN,XN,XN,0,NA
10.1016/j.ijpe.2021.108132,XC XV XN,XC XN,XN XC,0,NA
10.1111/gcb.12507,XN,XC XV XN,XN,0,NA
10.1016/j.eneco.2024.108088,XN,XN,XN,0,NA
10.1016/j.palaeo.2020.110097,XC XV XN,XV XN,XN XV,0,NA
10.3390/polym13132036,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00442-018-4176-5,XC XN,XC XV XN,XN XC,0,NA
10.1007/978-3-319-03560-4_9,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10333-015-0485-z,XN,XV XN,XN,0,NA
10.1890/08-0971.1,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10584-020-02821-3,XN,XN,XN,0,NA
10.1016/j.landusepol.2019.104190,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.jenvman.2024.123843,XN,XV XN,XN,0,NA
10.1007/s00267-009-9342-4,XV XN,XV XN,XN XV,0,NA
10.1175/WCAS-D-16-0077.1,XV XN,XC XV XN,XN XV,0,NA
10.1093/oxfclm/kgae013,XO,XN,Disagree,1,Failed
10.1142/S2010007823500124,RE,RE,RE,10,Passed
10.1016/j.jallcom.2011.09.006,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/sd.3079,XN,XC XN,XN,0,NA
10.1016/j.trd.2018.02.016,XC XV XN,XN,XN,0,NA
10.1175/1520-0469(1995)052<2627:IOIABM>2.0.CO;2,XC,Ambiguous,Ambiguous,2,Failed
10.1029/2019GL086281,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.scitotenv.2024.176601,XC XV XN,XC XN,XN XC,0,NA
10.5558/tfc78124-1,XC XN XO,XC XN,XN XC,0,NA
10.3732/ajb.1400535,XV XN,XC XV XN,XN XV,0,NA
10.21930/RCTA.VOL23_NUM3_ART:2890,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.hpj.2023.12.006,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/s41597-023-02265-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1088/1748-9326/ab649b,RA,XN,RA,8,Passed
10.3390/su122310012,XN,XV XN,XN,0,NA
10.1016/j.egypro.2011.02.201,XO,XC XV XN,Disagree,1,Failed
10.1111/pce.14841,XV XN,XC XN XO,XN,0,NA
10.1016/j.agsy.2015.07.001,XN,XN,XN,0,NA
10.1016/j.agsy.2024.104236,XV XN,XV XN,XN XV,0,NA
10.1038/s41467-023-38577-4,RE RA,XV XN,RE RA,3,Failed
10.4324/9781849772297-15,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11769-017-0882-x,XN,XC XN,XN,0,NA
10.2903/j.efsa.2023.8493,XC XV XN,XC XN,XN XC,0,NA
10.2307/2808124,XO,XC XV XN,Disagree,1,Failed
10.1016/j.ecolecon.2024.108354,XN,XC XV XN,XN,0,NA
10.5194/hess-28-2223-2024,RA,RA,RA,10,Passed
10.1002/ece3.10400,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.eneco.2024.107348,XC,XC XN,XC,0,NA
10.3390/rs12111805,XC XV XN,XC XV XN,XN XC XV,0,NA
10.4324/9780203795699,XC XV XN,XC XN,XN XC,0,NA
10.3959/1536-1098-70.2.119,XV XN,Ambiguous,Ambiguous,2,Unknown
10.1016/j.cosust.2020.08.011,XV XN XA,XN,XN,0,NA
10.1111/area.12630,XN XO,XN,XN,0,NA
10.3390/su12135393,XO,XV XN,Disagree,1,Failed
10.1093/icesjms/fsy174,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.jclepro.2024.142380,XN,XN,XN,0,NA
10.1029/2018SW001999,XC XV XN,XC XN,XN XC,0,NA
10.1670/20-071,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11121-021-01332-6,XC XN,XC XN,XN XC,0,NA
10.1007/s10980-023-01653-7,XC XN,XC XN,XN XC,0,NA
10.46585/sp31011663,XC,XC,XC,0,NA
10.3390/plants11141880,XO,XC XV XN,Disagree,6,Passed
10.1890/08-1574.1,XN XO,XC XV XN,XN,0,NA
10.1016/j.scs.2024.105180,XN XO,XN,XN,0,NA
10.1080/14786451.2023.2268853,RE,RE,RE,5,Failed
10.1007/s11431-018-9500-y,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.diamond.2015.03.007,XC,XC XV XN,XC,0,NA
10.1002/wat2.1201,XO,XC XV XN,Disagree,1,Failed
10.4018/978-1-60960-619-0.ch005,XO,XN XA,Disagree,6,Passed
10.1016/j.vacuum.2022.110935,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envres.2015.10.016,XV XN,XC XV XN XA,XN XV,0,NA
10.1016/j.ecolind.2023.110680,RE RA,XN,RE RA,8,Passed
10.1016/j.biortech.2020.124108,XC XV XN,XC XN,XN XC,0,NA
10.1016/B978-0-12-822188-4.00001-4,XC XV,XC XN,XC,0,NA
10.1175/1520-0434(2001)016<0168:NDFMTI>2.0.CO;2,XC XN,XC XN XA,XN XC,0,NA
10.1016/j.toxicon.2010.02.026,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.jenvman.2022.114922,XN,XN,XN,0,NA
10.1016/j.heliyon.2024.e31244,XN XO,XC XN,XN,0,NA
10.1371/journal.pone.0127704,XC XN,XC XV XN,XN XC,0,NA
10.4337/9781839109034,XC,XC XN,XC,0,NA
10.1541/ieejpes.131.358,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-3-540-72438-4_13,RF RA,XV XN,RA RF,3,Unknown
10.1016/j.enpol.2018.05.027,XO,XV XN,Disagree,1,Failed
10.3390/met8040235,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.eneco.2018.06.028,XC XN,XC XN,XN XC,0,NA
10.3390/w15152739,XV XN,XV XN,XN XV,0,NA
10.1007/s11356-019-07324-y,XO,XC XV XN,Disagree,1,Failed
10.1016/j.envexpbot.2020.104135,XV XN,XV XN,XN XV,0,NA
10.1016/j.compositesb.2018.09.015,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11258-005-9030-2,XV XN,XV XN,XN XV,0,NA
10.1088/1748-9326/abff87,XV,XV XN,XV,0,NA
10.3390/ijerph19074180,XN,XV XN,XN,0,NA
10.3390/en11030526,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/ijerph18010254,RE RF,XC XN,RE RF,3,Failed
10.1016/j.wace.2015.07.003,XV XN,XN,XN,0,NA
10.1016/j.heliyon.2023.e12925,XC XN,XC XV XN,XN XC,0,NA
10.5194/sapiens-1-17-2008,RE RF RA,XN XA,RE RA RF,3,Unknown
10.1016/j.eja.2024.127358,XV XN,XC XV XN,XN XV,0,NA
10.1111/are.12675,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/w9100740,XV XN,XV XN,XN XV,0,NA
10.1016/j.apenergy.2024.125008,XN,XV XN,XN,0,NA
10.3390/rs15061491,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ijdrr.2016.09.007,XN,XV XN,XN,0,NA
10.1016/j.rset.2023.100050,RA,XV XN,RA,3,Failed
10.3390/rs12030557,XV XN,XC XV XN,XN XV,0,NA
10.1038/s41598-018-26785-8,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.techsoc.2022.101961,XC,XV XN,Disagree,1,Failed
10.1073/pnas.1414659111,XV XN,XV XN,XN XV,0,NA
10.1126/sciadv.abm3230,XC XN,XC XV XN,XN XC,0,NA
10.3390/w14172754,XV XN,XV XN,XN XV,0,NA
10.1088/1757-899X/471/9/092057,XC XN XO,XC XV XN,XN XC,0,NA
10.1017/S0960777322000698,XO,XC XV XN XA,Disagree,1,Failed
10.1108/S1569-375920240000114006,RE,RE,RE,5,Failed
10.1016/j.jafr.2023.100856,XN,XC XN,XN,0,NA
10.3390/jmse11081529,XC,XC XN,XC,0,NA
10.1007/s10745-015-9802-9,XV XN,XV XN,XN XV,0,NA
10.1111/nph.12132,XC,XC XV XN,XC,0,NA
10.3763/cpol.2009.0012,RE RF,RE,RE RF,5,Failed
10.1007/s11027-011-9315-9,XN,XC XN,XN,0,NA
10.1039/c9ta12783f,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2020.121154,RA,XN,RA,3,Unknown
10.1007/s12144-024-06991-6,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1177/0958305X221127020,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1073/pnas.0802416106,XO,XN,Disagree,1,Failed
10.1002/esp.4920,XV XN,XV XN,XN XV,0,NA
10.1016/j.eneco.2006.02.003,XO,XC XN,Disagree,1,Failed
10.1111/saje.12368,RF,XV XN,RF,8,Passed
10.4103/cs.cs_70_23,XN,XC XN,XN,0,NA
10.1016/j.rser.2018.03.012,XV XN,XC XV XN,XN XV,0,NA
10.1007/s10584-019-02500-y,XO,XV XN,Disagree,1,Failed
10.1002/er.1369,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.matpr.2022.03.322,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1021/acsanm.1c01093,XC,XC XV XN,XC,0,NA
10.3390/su11226368,XN,XC XN,XN,0,NA
10.1111/nph.17412,XV XN,XC XV XN,XN XV,0,NA
10.4028/p-S5twYN,XC XV XN,XC XN,XN XC,0,NA
10.3390/rs15102553,XC XV XN,XC XV XN,XN XC XV,0,NA
10.4324/9780203835869-25,XO,XV XN,Disagree,1,Unknown
10.1016/j.resconrec.2019.03.048,XC XV,XC XN,XC,0,NA
10.1002/sd.2550,XC,XC XV XN,XC,0,NA
10.1007/s13253-018-00338-y,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/acp-18-11779-2018,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.jrurstud.2023.02.001,XN,XN,XN,0,NA
10.1016/j.esd.2019.08.002,RF RA,XV XN,RA RF,3,Failed
10.1016/j.atmosenv.2016.08.008,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1590/0001-3765202320230710,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11258-018-0836-0,XV XN,XC XV XN,XN XV,0,NA
10.1007/s11027-017-9752-1,XN,XN,XN,0,NA
10.1016/j.tsep.2020.100591,XV XN,XN,XN,0,NA
10.1088/1748-9326/ab9be3,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/jps.2600831204,XC XN,Ambiguous,Ambiguous,2,Failed
10.1029/2018MS001541,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2023.166805,XC XV,XC XV XN,XC XV,0,NA
10.1021/acs.nanolett.3c00764,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.envpol.2018.03.078,XN XO,XC XV XN,XN,0,NA
10.1111/1365-2656.12279,XC XN,XC XV XN,XN XC,0,NA
10.5194/isprs-annals-X-2-2024-137-2024,XC,XC XV XN,XC,0,NA
10.1051/mmnp/20149414,RA,RE RA,RE RA,5,Unknown
10.1016/j.watres.2019.115134,XN,XN,XN,0,NA
10.1007/s12274-021-3718-z,XC XN,XC XV XN,XN XC,0,NA
10.1007/s11301-022-00296-3,XC,XC XV XN XA,XC,0,NA
10.3390/su16156454,XC XV XN,XC XV XN,XN XC XV,0,NA
10.11928/j.issn.1001-7410.2021.01.08,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jia.2022.08.044,XV XN,XV XN,XN XV,0,NA
10.1002/sd.2809,XC XN,XC XV XN,XN XC,0,NA
10.1111/1477-8947.12527,XC,XV XN,Disagree,1,Failed
10.1016/j.ijhydene.2010.07.061,Ambiguous,XC XN,Ambiguous,2,Failed
10.1016/j.actamat.2020.04.050,XC,XC XV XN,XC,0,NA
10.1039/c1ee01495a,XV XN,XV XN,XN XV,0,NA
10.1108/IJESM-05-2021-0005,XN,XN,XN,0,NA
10.2112/SI55-007.1,Ambiguous,XC XV XN,Ambiguous,7,Passed
10.3390/su13084317,XN,XC XV,Disagree,1,Unknown
10.1117/12.795299,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.ecolecon.2017.07.033,RE RF RA,RE RA,RE RA RF,5,Failed
10.1134/S0001433810010044,XV XN,XV XN,XN XV,0,NA
10.1016/j.annals.2019.102840,RE,XC XN,RE,8,Passed
10.12681/mms.28472,XV XN,XC XN,XN,0,NA
10.3390/su142214701,XN,XN,XN,0,NA
10.1186/s12864-016-2601-x,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11367-009-0102-8,XV XN,XV XN,XN XV,0,NA
10.1016/j.chemosphere.2010.09.001,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1520/STP160420170125,XC XN,XC XN,XN XC,0,NA
10.1093/mnras/stac2560,XC XN,XC XN,XN XC,0,NA
10.1016/j.palaeo.2024.112093,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.isprsjprs.2018.03.019,XV XN,XV XN,XN XV,0,NA
10.3389/fenrg.2024.1341010,XC XV,XC XV XN,XC XV,0,NA
10.5433/1679-0359.2018v39n5p2001,XC XN,XC XV XN,XN XC,0,NA
10.3390/rs14184441,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-3-031-47079-0_67,XN,XC XV XN,XN,0,NA
10.3389/fmars.2019.00038,XV XN,XC XV XN,XN XV,0,NA
10.1080/10095020.2015.1126072,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3354/meps10791,XC XV XN,XC XN,XN XC,0,NA
10.3390/su15053891,XC,XC XV XN,XC,0,NA
