DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount,Impacted Sector,Solution,Quantification,Expression,Type of Value,Sample
10.3390/atmos12030305,,Chile,Baseline,,,thousands of employee-years,295.6,,,,,,Table 3,Total farm labor demand under the baseline scenario.,2.0,Agriculture,Any,Employment,BaselineImpact,Economic,Need
10.3390/atmos12030305,,Chile,A240/B240,,,hectares,-55941.0,,,,,,Table 4,Reduction in rainfed wheat area compared to baseline,2.0,Agriculture,Land-use change,Land Use,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,A270,,,hectares,-51191.0,,,,,,Table 4,Reduction in rainfed wheat area compared to baseline,2.0,Agriculture,Land-use change,Land Use,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,B270,,,hectares,-29993.0,,,,,,Table 4,Reduction in rainfed wheat area compared to baseline,2.0,Agriculture,Land-use change,Land Use,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,A240,,,hectares,-13382.0,,,,,,Table 5,Decrease in land area dedicated to table grapes under A240 compared to baseline (60783-47401),2.0,Agriculture,Land Use Change,Land Area,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,A270,,,hectares,-28521.0,,,,,,Table 5,Decrease in land area dedicated to table grapes under A270 compared to baseline (60783-32262),2.0,Agriculture,Land Use Change,Land Area,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,B240,,,hectares,-12725.0,,,,,,Table 5,Decrease in land area dedicated to table grapes under B240 compared to baseline (60783-48058),2.0,Agriculture,Land Use Change,Land Area,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,B270,,,hectares,-12725.0,,,,,,Table 5,Decrease in land area dedicated to table grapes under B270 compared to baseline (60783-48058),2.0,Agriculture,Land Use Change,Land Area,AvoidedImpact,Economic,Need
10.3390/atmos12030305,,Chile,A240,,,hectares,42579.0,,,,,,Table 6,Total area planted with avocados under A240 scenario in 2070,2.0,Agriculture,Land Use Change,Area Planted,MonetaryBenefits,Economic,Need
10.3390/atmos12030305,,Chile,B240,,,hectares,42579.0,,,,,,Table 6,Total area planted with avocados under B240 scenario in 2070,2.0,Agriculture,Land Use Change,Area Planted,MonetaryBenefits,Economic,Need
10.3390/atmos12030305,,Chile,A270,,,hectares,49412.0,,,,,,Table 6,Total area planted with avocados under A270 scenario in 2070,2.0,Agriculture,Land Use Change,Area Planted,MonetaryBenefits,Economic,Need
10.3390/atmos12030305,,Chile,B270,,,hectares,56409.0,,,,,,Table 6,Total area planted with avocados under B270 scenario in 2070,2.0,Agriculture,Land Use Change,Area Planted,MonetaryBenefits,Economic,Need
10.1126/sciadv.adl1252,,"California, USA",Base case,,,billion USD,432.0,,,,,,"Discussion page 5, Page 1",Estimates for wildfire PM2.5-related premature deaths for base case scenario.  Attributable to premature deaths due to wildland fire PM2.5 over 11-year period (2008-2018),3.0,Health,Wildfire management,Net Present Value,DiscountedSum(),Economic,Need
10.1126/sciadv.adl1252,,"California, USA",mod cap scenario,,,billion USD,456.0,,,,,,"Discussion page 5, Page 1",Estimates for wildfire PM2.5-related premature deaths for 'mod cap' scenario. Attributable to premature deaths due to wildland fire PM2.5 over 11-year period (2008-2018),3.0,Health,Wildfire management,Net Present Value,DiscountedSum(),Economic,Need
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1 and 2,,,% of price change,-7.7,,,,,,-13.68,"Page 8, p. 9",2.0,Fisheries,Sustainable Practices,Price Changes,MonetaryBenefits,Economic,Need
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,%,13.48,,,,,,,"p. 9, Page 12 - Appendix 3",2.0,Fisheries,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,%,25.77,,,,,,,"p. 9, Page 12 - Appendix 3",2.0,Fisheries,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,%,6.64,,,,,,,"p. 9, Page 12 - Appendix 3",2.0,Fisheries,Sustainable Practices,CGE Model,AvoidedImpact,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,%,11.75,,,,,,,"p. 9, Page 12 - Appendix 3",2.0,Fisheries,Sustainable Practices,CGE Model,AvoidedImpact,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,%,9.12,,,,,,,"p. 9, Page 10",2.0,Household Demand,Sustainable Practices,CGE Model,NonMonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,%,17.31,,,,,,,"p. 9, Page 10",2.0,Household Demand,Sustainable Practices,CGE Model,NonMonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,%,-38.722,,,,,,,p. 9,2.0,Natural Resources,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,%,-62.161,,,,,,,p. 9,2.0,Natural Resources,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,%,1.132,,,,,,,p. 9,2.0,Land,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,%,1.241,,,,,,,p. 9,2.0,Land,Sustainable Practices,CGE Model,MonetaryBenefits,Economic,
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1,,,% change in output,0.1,,,,,,,Page 8,2.0,Food Processing,Sustainable Practices,Production Impact,MonetaryBenefits,Economic,Need
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 2,,,% change in output,0.1,,,,,,,Page 8,2.0,Food Processing,Sustainable Practices,Production Impact,MonetaryBenefits,Economic,Need
10.9755/ejfa.2018.v30.i1.1590,,UAE,Scenario 1 and 2,,,% of price change,-0.02,,,,,,-0.04,Page 8,2.0,Red Meat,Sustainable Practices,Price Changes,MonetaryBenefits,Economic,Need
10.1080/15715124.2018.1433185,,Bangladesh,,,,USD,155.0,,,,,,Page 4,"Concerns were raised that the economic returns from protecting agricultural lands would not outweigh the costs of the Flood Action Plan (FAP), which was initially estimated at USD 155 billion.",1.0,Agriculture,Embankments,Avoided Damages,AdaptationCost,Economic,Need
10.1080/15715124.2018.1433185,,Bangladesh,,,,%,99.0,,,,,,Page 4,Early warning and shelter programs reduced fatalities from cyclone Sidr by about 99% compared to previous disastrous floods.,1.0,All,Early Warning and Shelters,Fatalities Reduction,NonMonetaryBenefits,Economic,Lead
10.1371/journal.pmed.1002599,,United States,MCA,,,billion USD,6.0,,,,,,,Page 3,2.0,Health,Air Conditioning,Mortality Costs,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,billion USD,3.0,,,,,,,Page 3,2.0,Health,Air Conditioning,Mortality Costs,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA–MCCO,,,billion USD / yr,6.0,,,0.0,,12.0,Page 16,Impact of adaptation alone on PM2.5 related mortality,2.0,Power Sector,Air conditioning,Mortality Cost,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,United States,MCCO–PD,,,billion USD / yr,120.0,,,12.0,,234.0,Page 16,Additional premature deaths caused by climate change alone,2.0,All,Any,Mortality Cost,BaselineImpact,Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA–PD,,,billion USD / yr,126.0,,,12.0,,246.0,Page 16,Total impact of climate and adaptation on premature deaths,2.0,All,Any,Mortality Cost,BaselineImpact,Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA–PD,,,billion USD / yr,32.5,,,,,,,Page 19,2.0,Health,Air Conditioning,MonetaryBenefits,MonetaryBenefits [billion USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA vs MCCO,,,%,8.0,,,,,,,Page 19,2.0,Health,Air Conditioning,MonetaryBenefits,MonetaryBenefits [%],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA vs MCCO,,,%,8.7,,,,,,,Page 19,2.0,Health,Air Conditioning,MonetaryBenefits,MonetaryBenefits [%],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,million USD / yr,0.0,,,0.0,,45.0,Page 19,Range of cost estimates from morbidity impacts due to PM2.5 (lower and upper range).,2.0,Health,Air Conditioning,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,million USD / yr,0.0,,,0.0,,39.0,Page 19,Range of cost estimates from morbidity impacts due to MDA8 O3 (lower and upper range).,2.0,Health,Air Conditioning,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,million USD / yr,6.0,,,6.0,,18.0,Page 19,Range of cost estimates from morbidity impacts due to maximum daily 1-hour O3 (lower and upper range).,2.0,Health,Air Conditioning,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,million USD,32500.0,,,,,,,Page 2,2.0,Health,Increased Air Conditioning Use,Monetary Cost,AdaptationCost [million USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,United States,MCA,,,million USD,6000.0,,,,,,,Page 2,2.0,Health,Increased Air Conditioning Use,Monetary Cost,AdaptationCost [million USD / yr],Economic,Need
10.1371/journal.pmed.1002599,,The United States,A2 emissions scenario,,,billion USD,6.0,,,,,,,Page 3,2.0,Health,Air Conditioning,Mortality Damages,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,The United States,A2 emissions scenario,,,billion USD,3.0,,,,,,,Page 3,2.0,Health,Air Conditioning,Mortality Damages,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,Eastern US,MCA–MCCO,,,billion,6.0,,,0.0,,12.0,Page 16,Costs associated with increased premature mortality due to increased air pollution from increased AC use.,2.0,Health,Air conditioning,Premature mortality and costs,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,Eastern US,MCCO–PD,,,billion,120.0,,,12.0,,234.0,Page 16,Costs associated with premature mortality due to climate change alone.,2.0,Health,Air conditioning,Premature mortality and costs,BaselineImpact,Economic,Need
10.1371/journal.pmed.1002599,,Eastern US,MCA–PD,,,billion,126.0,,,12.0,,246.0,Page 16,Total costs associated with premature mortality from climate and adaptation (air conditioning).,2.0,Health,Air conditioning,Premature mortality and costs,BaselineImpact,Economic,Need
10.1371/journal.pmed.1002599,,The Eastern United States,MCA–PD,,,billion USD,32.5,,,,,,,Page 19,2.0,Health,Air Conditioning,Premature mortality costs,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,The United States,A2 emissions scenario,,,%,5.0,,,,,,,Discussion,2.0,Health,Air Conditioning,Mortality Damages,AdaptationCost,Economic,Need
10.1371/journal.pmed.1002599,,The United States,A2 emissions scenario,,,%,8.0,,,,,,,Discussion,2.0,Health,Air Conditioning,Mortality Damages,AdaptationCost,Economic,Need
10.3354/cr011005,,Senegal,"1m SLR, 1990s",,,Million US $,1000.0,,,,,,Table 3,Protection removes most direct human impacts. Costs are rough estimates.,3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Senegal,"1m SLR, 1990s",,,% GNP,21.0,,,,,,Table 3,"Protection removes most direct human impacts. Costs are rough estimates. Reviewer 3 provides 12% from Page 8, Table 3.",3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Nigeria,"1m SLR, 1990s",,,Million US $,1400.0,,,,,,Table 3,"Most people might be protected, but 600,000 in the Niger delta might require relocation. Costs are rough estimates.",3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Nigeria,"1m SLR, 1990s",,,% GNP,4.0,,,,,,Table 3,"Most people might be protected, but 600,000 in the Niger delta might require relocation. Costs are rough estimates.",3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Benin,"1m SLR, 1990s",,,Million US $,400.0,,,,,,Table 3,Protection is feasible. Costs are likely low estimates due to the 1990s socioeconomic situation. The impacts could be more significant if rapid population growth in the region is considered.,3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Benin,"1m SLR, 1990s",,,% GNP,41.0,,,,,,Table 3,Protection is feasible. Costs are likely low estimates due to the 1990s socioeconomic situation. The impacts could be more significant if rapid population growth in the region is considered.,3.0,Coastal regions,Protection,Adaptation costs,AdaptationCost,Economic,Need
10.3354/cr011005,,Senegal,"1m SLR, 1990s",,,% of GNP,12.0,,,,,,"Page 8, Table 3","The adaptation/protection cost for Senegal is estimated to be more than 12% of its GNP. Using 12% as the estimated value, as the source states '>12'.",3.0,All,Protection,AdaptationCost,AdaptationCost [million USD / yr],Monetary,Need
10.3354/cr011005,,Nigeria,"1m SLR, 1990s",,,% of GNP,4.0,,,,,,"Page 8, Table 3","The adaptation/protection cost for Nigeria is estimated to be more than 4% of its GNP. Using 4% as the estimated value, as the source states '>4'.",3.0,All,Protection,AdaptationCost,AdaptationCost [million USD / yr],Monetary,Need
10.3354/cr011005,,Benin,"1m SLR, 1990s",,,% of GNP,41.0,,,,,,"Page 8, Table 3","The adaptation/protection cost for Benin is estimated to be more than 41% of its GNP. Using 41% as the estimated value, as the source states '>41'.",3.0,All,Protection,AdaptationCost,AdaptationCost [million USD / yr],Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,8.5,,,,,,Page 10,Reflects existing expenditure plans not adaptation.,2.0,Water,NoBuild,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,8.5,,,,,,Page 10,Reflects existing expenditure plans not adaptation.,2.0,Water,NoBuild,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,8.5,,,,,,Page 10,Reflects existing expenditure plans not adaptation.,2.0,Water,NoBuild,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,8.9,,,,,,Page 10,,2.0,Water,Minimum Intervention,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,9.1,,,,,,Page 10,,2.0,Water,Minimum Intervention,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,9.6,,,,,,Page 10,,2.0,Water,Minimum Intervention,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,11.6,,,,,,Page 10,,2.0,Water,Capacity Expansion,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,11.4,,,,,,Page 10,,2.0,Water,Capacity Expansion,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,11.7,,,,,,Page 10,,2.0,Water,Capacity Expansion,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,19.4,,,,,,Page 10,,2.0,Water,National Planning,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,25.1,,,,,,Page 10,,2.0,Water,National Planning,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,51.8,,,,,,Page 10,,2.0,Water,National Planning,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,21.7,,,,,,Page 10,,2.0,Water,System Efficiency,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,22.1,,,,,,Page 10,,2.0,Water,System Efficiency,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,24.2,,,,,,Page 10,,2.0,Water,System Efficiency,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Low & Wet,,,£bn,20.0,,,,,,Page 10,,2.0,Water,System Restructure,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,Central,,,£bn,25.9,,,,,,Page 10,,2.0,Water,System Restructure,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,United Kingdom,High & Dry,,,£bn,40.8,,,,,,Page 10,,2.0,Water,System Restructure,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,11.9,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,CapacityExpansion,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,12.5,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,CapacityExpansion,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,12.9,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,CapacityExpansion,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,26.0,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,National Planning,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,48.1,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,National Planning,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,77.3,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,National Planning,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,21.9,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Efficiency,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,22.2,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Efficiency,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,24.4,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Efficiency,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,20.0,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Restructure,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,26.2,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Restructure,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,47.2,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,System Restructure,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,8.5,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation.",2.0,Water,NoBuild,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,8.5,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation.",2.0,Water,NoBuild,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,8.5,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation.",2.0,Water,NoBuild,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,9.0,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,Minimum Intervention,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,10.1,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,Minimum Intervention,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,10.8,,,,,,Table 2,"Cumulative discounted adaptation costs, 2015-2040",2.0,Water,Minimum Intervention,DiscountedSum,AdaptationCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,0.1,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,1.0,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,1.2,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,0.3,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,1.1,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,1.2,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,6.7,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,23.1,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,25.5,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,0.1,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,0.1,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,0.3,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,0.0,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,0.3,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,6.4,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,CapExCost,CapExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,8.5,,,,,,Page 10,No Build Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,8.5,,,,,,Page 10,No Build Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,8.5,,,,,,Page 10,No Build Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,8.9,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,9.1,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,9.6,,,,,,Page 10,Minimum Intervention Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,11.6,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,11.4,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,11.7,,,,,,Page 10,Capacity Expansion Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,19.4,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,25.1,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,51.8,,,,,,Page 10,National Planning Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,21.7,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,22.1,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,24.2,,,,,,Page 10,System Efficiency Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Low&Wet,,,£bn,20.0,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,Central,,,£bn,25.9,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1111/wej.12352,,Great Britain,High & Dry,,,£bn,40.8,,,,,,Page 10,System Restructure Strategy,2.0,Water,Any,OpExCost,OpExCost,Monetary,Need
10.1134/S1019331619060121,,Russia,Conservative,,,₽ bln / yr,14.0,,,,,,,Abstract/Page 1,3.0,Transportation,Adaptation,CapEx,AdaptationCost,Monetary,Need
10.1134/S1019331619060121,,Russia,Moderate,,,₽ bln / yr,21.0,,,,,,,Abstract/Page 1,3.0,Transportation,Adaptation,CapEx,AdaptationCost,Monetary,Need
10.1134/S1019331619060121,,Russia,Modernization,,,₽ bln / yr,28.0,,,,,,,Abstract/Page 1,3.0,Transportation,Adaptation,CapEx,AdaptationCost,Monetary,Need
10.1134/S1019331619060121,,Russia,Conservative,,,₽ bln,422.68,,,,,,,Page 7/Table 7,3.0,Transportation,Reconstruction,AdaptationCost,DiscountedSum(),Monetary,Need
10.1134/S1019331619060121,,Russia,Moderate,,,₽ bln,644.48,,,,,,,Page 7/Table 7,3.0,Transportation,Reconstruction,AdaptationCost,DiscountedSum(),Monetary,Need
10.1134/S1019331619060121,,Russia,Modernization,,,₽ bln,864.81,,,,,,,Page 7/Table 7,3.0,Transportation,Reconstruction,AdaptationCost,DiscountedSum(),Monetary,Need
10.1134/S1019331619060121,,Russia,Moderate,,,%,0.21,,,,,,,Page 8,3.0,Transportation,Upgrade,BaselineImpact,% of GRP,Monetary,Need
10.1134/S1019331619060121,,Russia,Modernization,,,%,0.29,,,,,,,Page 8,3.0,Transportation,Upgrade,BaselineImpact,% of GRP,Monetary,Need
10.1007/978-3-030-05252-2_7,,The Netherlands,KNMI climate,,,Me,40.0,,,,,,,Table 4.1,2.0,Water,Smaller Ships,AdaptationCost,AdaptationCost,Monetary,Need
10.1007/978-3-030-05252-2_7,,The Netherlands,KNMI climate,,,Me,40.0,,,,,,,Table 4.1,2.0,Water,Medium Ships,AdaptationCost,AdaptationCost,Monetary,Need
