DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,∆TA t-9,,-0.224,0.097,,,,,11,p<0.1,3.0
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,∆TA t-12,,-0.474,0.073,,,,,11,p<0.01,3.0
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,∆TA t-14,,0.25,0.106,,,,,11,p<0.1,3.0
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,Growth t-1,,0.014,0.006,,,,,11,p<0.1,3.0
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,Growth t-1,,-0.015,0.007,,,,,11,p<0.1,3.0
10.1016/j.sftr.2024.100367,Temperature Anomalies,167 countries,Observed historical data,2018.0,Growth t-1,,0.017,0.005,,,,,11,p<0.05,3.0
10.3917/redp.335.0693,Per capita GDP growth rate,SIDS,"TCE-DAT, CRU TS, UNSD",2023.0,No cyclone event,percentage point,-0.016,,,,,,Page 2,Immediate effect of one additional unit of cyclone exposure. This assumes the cyclone and measurement of growth are simultaneous.,2.0
10.3917/redp.335.0693,Per capita GDP growth rate,SIDS,"TCE-DAT, CRU TS, UNSD",2038.0,No cyclone event,percentage point,-0.024,,,,,,Page 2,"Marginal cumulative effect, 15 years after cyclone strike, assuming 2023 baseline.",2.0
10.5194/nhess-22-2531-2022,Mortality,Switzerland,Current,2022.0,No CC,deaths/year,658.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Labour productivity,Switzerland,Current,2022.0,No CC,CHF million/year,-665.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Mortality,Switzerland,RCP8.5,2100.0,No CC,deaths/year,1316.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Labour productivity,Switzerland,RCP8.5,2100.0,No CC,CHF million/year,-1995.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Mortality,Switzerland,RCP2.6,2050.0,No CC,Relative increase,0.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Labour productivity,Switzerland,RCP2.6,2050.0,No CC,Relative increase,0.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Mortality,Switzerland,2015,2015.0,No CC,Percent,5.4,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Mortality,Switzerland,RCP8.5,2080.0,RCP2.6,people,-823.0,,,,,,,,3.0
10.5194/nhess-22-2531-2022,Labour productivity,Switzerland,RCP8.5,2080.0,RCP2.6,CHF million,-1381.0,,,,,,,,3.0
10.1145/3080556.3080569,Income,Global,Unspecified,2100.0,No CC,%,-23.0,,,,,,,2,3.0
10.1145/3080556.3080569,Income,Global,RCP8.5,2100.0,No CC,%,-23.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,Income,Global,Burke et al.,2100.0,No CC,%,-23.0,,,,,,,2,3.0
10.1145/3080556.3080569,Countries w/ Income Reduction,Global,Unspecified,2100.0,No CC,%,77.0,,,,,,,2,3.0
10.1145/3080556.3080569,Income,Global,RCP8.5,2099.0,No CC,%,-77.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,Per capita income,77% of countries,Burke et al.,2100.0,Future without CC,%,0.0,,,,,,,2,3.0
10.1145/3080556.3080569,Negative Growth Countries,Global,Unspecified,2099.0,2017,Number,104.0,,,,,,,2,3.0
10.1145/3080556.3080569,Growth,Global,RCP8.5,2099.0,2017,Countries,19.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,Faster Growth Countries,Global,Unspecified,2099.0,2017,Number,19.0,,,,,,,2,3.0
10.1145/3080556.3080569,GDP Growth Rate,19 countries,Burke et al.,2099.0,2017,%/year,1.0,,,,,,,2,3.0
10.1145/3080556.3080569,GDP Growth Rate,104 countries,Burke et al.,2099.0,2017,%/year,-1.0,,,,,,,2,3.0
10.1145/3080556.3080569,Growth,Global,RCP8.5,2099.0,," ""Countries""",104.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,Countries w/ <0.5% Growth,Global,Unspecified,2099.0,Unspecified,Number,113.0,,,,,,,2,3.0
10.1145/3080556.3080569,Growth,Global,RCP8.5,2099.0,," ""Countries""",113.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,GDP Growth Rate,113 countries,Burke et al.,2099.0,No CC,%/year,0.5,,,,,,,2,3.0
10.1145/3080556.3080569,Countries w/ >1.5% Contraction,Global,Unspecified,2099.0,Unspecified,Number,65.0,,,,,,,2,3.0
10.1145/3080556.3080569,Growth,Global,RCP8.5,2099.0,," ""Countries""",65.0,,,,,,,Page 2,3.0
10.1145/3080556.3080569,GDP Growth Rate,65 countries,Burke et al.,2099.0,No CC,%/year,-1.5,,,,,,,2,3.0
10.1145/3080556.3080569,GDP per capita,Vietnam,Burke et al. scenarios,2099.0,2014 rank,Rank,-30.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,Vietnam,Burke 2015,2099.0,2014,Ranking,-30.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP per capita rank,Vietnam,Burke et al.,2099.0,2014,Rank,-30.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,China,Burke et al. scenarios,2099.0,2014 rank,Rank,13.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,China,Burke 2015,2099.0,2014,Ranking,13.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP per capita rank,China,Burke et al.,2099.0,2014,Rank,13.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,Malaysia,Burke et al. scenarios,2099.0,2014 rank,Rank,-61.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,Malaysia,Burke 2015,2099.0,2014,Ranking,-61.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP per capita rank,Malaysia,Burke et al.,2099.0,2014,Rank,-61.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,Philippines,Burke et al. scenarios,2099.0,2014 rank,Rank,-14.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP per capita,Philippines,Burke 2015,2099.0,2014,Ranking,-14.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP per capita rank,Philippines,Burke et al.,2099.0,2014,Rank,-14.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP,Vietnam,Burke et al. scenarios,2067.0,2015 growth,Growth Rate (%),-6.3,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth,Vietnam,Burke 2015,2067.0,No CC,%,0.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Malaysia,Burke et al. scenarios,2059.0,2025 growth,Growth Rate (%),-3.6,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth,Malaysia,Burke 2015,2059.0,No CC,%,0.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Philippines,Burke et al. scenarios,2075.0,2030 growth,Growth Rate (%),-5.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth,Philippines,Burke 2015,2075.0,No CC,%,0.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,China,Burke et al. scenarios,2096.0,2011 growth,Growth Rate (%),-8.4,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth,China,Burke 2015,2096.0,No CC,%,0.0,,,,,,,4,3.0
10.1145/3080556.3080569,Growth rate,Vietnam,Burke et al.,2015.0,No CC,%,6.3,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth rate,Malaysia,Burke et al.,2025.0,No CC,%,3.6,,,,,,,Page 4,3.0
10.1145/3080556.3080569,Growth rate,Philippines,Burke et al.,2030.0,No CC,%,5.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,GDP,Slovakia,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),3.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Slovakia,Burke 2015,2099.0,No CC,%,3.0,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Estonia,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),4.4,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Estonia,Burke 2015,2099.0,No CC,%,4.4,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Latvia,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),3.8,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Latvia,Burke 2015,2099.0,No CC,%,3.8,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Czech Republic,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),3.1,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Czech Republic,Burke 2015,2099.0,No CC,%,3.1,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Poland,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),2.9,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Poland,Burke 2015,2099.0,No CC,%,2.9,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Ireland,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),2.6,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Ireland,Burke 2015,2099.0,No CC,%,2.6,,,,,,,4,3.0
10.1145/3080556.3080569,GDP,Sweden,Burke et al. scenarios,2099.0,No CC,Growth Rate (%),4.0,,,,,,,Page 4,3.0
10.1145/3080556.3080569,ICT Exports,Sweden,Burke 2015,2099.0,No CC,%,4.0,,,,,,,4,3.0
10.1145/3080556.3080569,Growth,Vietnam,Burke 2015,2015.0,No CC,%,6.3,,,,,,,4,3.0
10.1145/3080556.3080569,Growth,Malaysia,Burke 2015,2025.0,No CC,%,3.6,,,,,,,4,3.0
10.1145/3080556.3080569,Growth,Philippines,Burke 2015,2030.0,No CC,%,5.0,,,,,,,4,3.0
10.1145/3080556.3080569,Growth,China,Burke 2015,2011.0,No CC,%,8.4,,,,,,,4,3.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,BAU,2100.0,No CC,%,2.5,,,,,,Page 3,GDP level is higher,3.0
10.1016/j.euroecorev.2024.104819,GDP,Russia,BAU,2100.0,No CC,%,3.6,,,,,,Page 3,GDP level is higher,3.0
10.1016/j.euroecorev.2024.104819,GDP,India,BAU,2100.0,No CC,%,-38.6,,,,,,Page 3,GDP level is lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,South Asian Pacific,BAU,2100.0,No CC,%,-33.4,,,,,,Page 3,GDP level is lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,Sub-Saharan Africa,BAU,2100.0,No CC,%,-33.0,,,,,,Page 3,GDP level is lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,Middle East and North Africa,BAU,2100.0,No CC,%,-30.9,,,,,,Page 3,GDP level is lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,Global,BAU,2100.0,No CC,%,-14.7,,,,,,Page 3,GDP level is lower,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Global,UWI,2100.0,BAU,%,4.3,,,,,,3,Comp. variation,3.0
10.1016/j.euroecorev.2024.104819,Net Taxes,India,UWI,2200.0,Lifetime,%,-39.9,,,,,,Page 4,Negative transfers,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWIL,2200.0,Baseline,%,4.0,,,,,,Page 4,Tax not limited,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,China,Forecast,2100.0,Current,%,33.0,,,,,,Page 4,Dominant economy,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,US,Forecast,2100.0,Current,%,16.0,,,,,,Page 4,GDP share falls,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,ANZ,BAU,2100.0,US,%,-0.11,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,BRA,BAU,2100.0,US,%,0.27,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,CND,BAU,2100.0,US,%,-0.08,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,CHI,BAU,2100.0,US,%,2.54,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,EEU,BAU,2100.0,US,%,0.09,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,GBR,BAU,2100.0,US,%,0.04,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,IND,BAU,2100.0,US,%,1.99,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,JSHK,BAU,2100.0,US,%,1.92,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,MENA,BAU,2100.0,US,%,0.05,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,MEX,BAU,2100.0,US,%,-0.64,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,RUS,BAU,2100.0,US,%,-0.06,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,SAF,BAU,2100.0,US,%,-0.2,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,SAP,BAU,2100.0,US,%,1.09,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,SLA,BAU,2100.0,US,%,-0.67,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,SOV,BAU,2100.0,US,%,0.87,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,SSA,BAU,2100.0,US,%,-0.73,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,TFP Growth,WEU,BAU,2100.0,US,%,0.76,,,,,,13,Relative to US,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,BAU,2217.0,Pre-ind,C,3.7,,,,,,14,1x damage,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,BAU,2217.0,Pre-ind,C,4.4,,,,,,14,2x damage,3.0
10.1016/j.euroecorev.2024.104819,GDP,Global,6x damage,2200.0,No CC,%,-17.0,,,,,,14,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,India,6x damage,2200.0,No CC,%,-40.0,,,,,,14,Loss persists,3.0
10.1016/j.euroecorev.2024.104819,GDP,US/China/JSHK,6x damage,2200.0,No CC,%,-16.0,,,,,,14,Loss no improv,3.0
10.1016/j.euroecorev.2024.104819,GDP,GBR,6x damage,2200.0,No CC,%,-2.1,,,,,,14,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,Russia,6x damage,2200.0,No CC,%,3.9,,,,,,14,Climate gain,3.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,6x damage,2200.0,No CC,%,2.6,,,,,,14,Climate gain,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,1x,2200.0,BAU,C,4.4,,,,,,p. 15,Max rise,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,2x,2200.0,BAU,C,4.2,,,,,,p. 15,Max rise,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,4x,2200.0,BAU,C,3.9,,,,,,p. 15,Max rise,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,6x,2200.0,BAU,C,3.7,,,,,,p. 15,Max rise,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,China/India,No CC,2100.0,No CC,%,40.0,,,,,,p. 15,Share of GDP,3.0
10.1016/j.euroecorev.2024.104819,Int. Rate,Global,No CC,2100.0,Initial,%,-1.1,,,,,,p. 15,Falls to 2.9%,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWI,2017.0,BAU,%,4.3,,,,,,18,Uniform gain,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWIL,2017.0,BAU,%,4.0,,,,,,18,Limited taxes,3.0
10.1016/j.euroecorev.2024.104819,GDP,Regions,BAU,2200.0,No CC,%,-17.1,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWI,2200.0,No CC,%,4.3,,,,,,28,Consumption,3.0
10.1016/j.euroecorev.2024.104819,Carbon Tax,Global,UWIL,2100.0,Unknown,$/ton,91.4,,,,,,28,Rising 1.5%/yr,3.0
10.1016/j.euroecorev.2024.104819,Temp Rise,Global,BAU,2100.0,Pre-ind,C,3.7,,,,,,28,Peak temp,3.0
10.1016/j.euroecorev.2024.104819,Temp Rise,Global,UWIL,2100.0,Pre-ind,C,2.1,,,,,,28,Peak temp,3.0
10.1016/j.euroecorev.2024.104819,Damages,Global,UWIL,2200.0,No CC,%,-9.2,,,,,,28,Peak damage,3.0
10.1016/j.euroecorev.2024.104819,Damages,India,BAU,2200.0,No CC,%,-43.9,,,,,,28,Worst region,3.0
10.1016/j.euroecorev.2024.104819,Damages,India,UWIL,2200.0,No CC,%,-27.5,,,,,,28,Peak damage,3.0
10.1016/j.euroecorev.2024.104819,GDP,Global,Hi-damage,2100.0,No CC,%,-9.0,,,,,,2,With UWI,3.0
10.1016/j.euroecorev.2024.104819,GDP,Global,Worst case,2100.0,No CC,%,-14.0,,,,,,2,No climate,3.0
10.1016/j.euroecorev.2024.104819,Carbon Tax,Regions,Optimal,2024.0,,USD,87.5,,,,,,2,Initial value,3.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,Hi-damage,2100.0,No CC,%,2.5,,,,,,3,GDP higher,3.0
10.1016/j.euroecorev.2024.104819,GDP,Russia,Hi-damage,2100.0,No CC,%,3.6,,,,,,3,GDP higher,3.0
10.1016/j.euroecorev.2024.104819,GDP,India,Hi-damage,2100.0,No CC,%,-38.6,,,,,,3,GDP lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,SAP,Hi-damage,2100.0,No CC,%,-33.4,,,,,,3,GDP lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,SSA,Hi-damage,2100.0,No CC,%,-33.0,,,,,,3,GDP lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,MENA,Hi-damage,2100.0,No CC,%,-30.9,,,,,,3,GDP lower,3.0
10.1016/j.euroecorev.2024.104819,GDP,Global,Hi-damage,2100.0,No CC,%,-14.7,,,,,,3,GDP lower,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,Hi-damage,2100.0,No Policy,C,3.1,,,,,,3,Temp increase,3.0
10.1016/j.euroecorev.2024.104819,GDP Loss,Global,Hi-damage,2200.0,BAU,%,-16.7,,,,,,3,Peak GDP Loss,3.0
10.1016/j.euroecorev.2024.104819,GDP Loss,Global,Optimal,2200.0,BAU,%,-9.3,,,,,,3,Peak GDP Loss,3.0
10.1016/j.euroecorev.2024.104819,Reg. Damage,Global,BAU,2200.0,No CC,%,-43.9,,,,,,3,Max GDP loss,3.0
10.1016/j.euroecorev.2024.104819,Reg. Damage,Global,Optimal,2200.0,No CC,%,-27.8,,,,,,3,Max GDP loss,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Global,UWI,2200.0,BAU,%,4.3,,,,,,3,Comp variation,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWIF,2017.0,BAU,%,7.7,,,,,,4,UWIF gain,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWI,2017.0,BAU,%,4.3,,,,,,4,UWI gain,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWIL,2017.0,BAU,%,4.0,,,,,,4,Limited tax,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,China,BAU,2100.0,2017,%,33.0,,,,,,4,1/3 world GDP,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,USA,6x Damage,2100.0,2017,%,-9.46,,,,,,Page 24,USA share decr,3.0
10.1016/j.euroecorev.2024.104819,GDP Share,China,6x Damage,2100.0,2017,%,17.01,,,,,,Page 24,China share incr,3.0
10.1016/j.euroecorev.2024.104819,GDP,India,BAU,2200.0,No CC,%,-43.9,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,SSA,BAU,2200.0,No CC,%,-30.0,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,SLA,BAU,2200.0,No CC,%,-30.0,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,MENA,BAU,2200.0,No CC,%,-30.0,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,Brazil,BAU,2200.0,No CC,%,-30.0,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,SAP,BAU,2200.0,No CC,%,-30.0,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,USA,BAU,2200.0,No CC,%,-17.1,,,,,,28,Peak loss,3.0
10.1016/j.euroecorev.2024.104819,GDP,Russia,BAU,2200.0,No CC,%,3.9,,,,,,28,Output gain,3.0
10.1016/j.euroecorev.2024.104819,GDP,Canada,BAU,2200.0,No CC,%,2.6,,,,,,28,Output gain,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Regions,UWI,2200.0,BAU,%,4.3,,,,,,28,UWI gain,3.0
10.1016/j.euroecorev.2024.104819,Welfare,Cohorts,UWIL,2200.0,BAU,%,4.0,,,,,,28,Limited gain,3.0
10.1016/j.euroecorev.2024.104819,SCC,Regions,UWIL,2024.0,BAU,$/ton,91.4,,,,,,28,Carbon tax,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,BAU,2200.0,Pre-ind,C,3.7,,,,,,28,Max increase,3.0
10.1016/j.euroecorev.2024.104819,Temp,Global,UWIL,2200.0,Pre-ind,C,2.1,,,,,,28,Temp rise,3.0
10.1016/j.euroecorev.2024.104819,Damages,Global,UWIL,2200.0,No CC,%,-9.2,,,,,,28,Peak damages,3.0
10.1016/j.euroecorev.2024.104819,Damages,India,BAU,2200.0,No CC,%,-43.9,,,,,,28,Worst hit,3.0
10.1016/j.euroecorev.2024.104819,Damages,India,UWIL,2200.0,No CC,%,-27.5,,,,,,28,Peak damages,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,African countries,Historical mean climate,2019.0,No CC,percent,-10.0,,,,,,,"Abstract, 1",3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,African countries,Historical mean climate,2019.0,No CC,percent,-15.0,,,,,,,"Abstract, 1",3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Eastern Africa,RCP2.6,2030.0,SSP2,%,0.19,,25%,-1.42,75%,0.53,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Eastern Africa,RCP8.5,2030.0,SSP2,%,0.7,,25%,1.94,75%,0.2,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Central Africa,RCP2.6,2030.0,SSP2,%,1.85,,25%,4.18,75%,0.2,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Central Africa,RCP8.5,2030.0,SSP2,%,2.3,,25%,4.79,75%,0.33,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Northern Africa,RCP2.6,2030.0,SSP2,%,0.47,,25%,2.48,75%,0.5,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Northern Africa,RCP8.5,2030.0,SSP2,%,0.97,,25%,2.96,75%,0.26,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Southern Africa,RCP2.6,2030.0,SSP2,%,0.97,,25%,2.83,75%,0.22,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Southern Africa,RCP8.5,2030.0,SSP2,%,0.89,,25%,2.67,75%,0.16,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Western Africa,RCP2.6,2030.0,SSP2,%,0.87,,25%,3.06,75%,0.89,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,GDP per capita growth,Western Africa,RCP8.5,2030.0,SSP2,%,1.64,,25%,4.77,75%,0.33,"Table 2, Page 9",Median value,3.0
10.1016/j.worlddev.2019.104699,Income Convergence Delay,African countries,RCP8.5,2050.0,SSP2,Years,10.0,,,,,,,Page 9,3.0
10.1016/j.worlddev.2019.104699,Income Convergence Delay,African countries,RCP8.5,2050.0,SSP2,Years,11.0,,,,,,,Page 9,3.0
10.1016/j.worlddev.2019.104699,Income Convergence Delay,African countries,RCP8.5,2050.0,SSP2,Years,19.0,,,,95%,,,Page 9,3.0
10.1016/j.worlddev.2019.104699,Income Convergence Delay,African countries,RCP2.6,2050.0,SSP2,Years,5.0,,,,,,,Page 9,3.0
10.1016/j.worlddev.2019.104699,Income Convergence Delay,African countries,RCP2.6,2050.0,SSP2,Years,7.0,,,,,,,Page 9,3.0
10.1038/s41467-024-48820-1,Investor Losses,Mexico,,2040.0,Asset-level info,%,-70.0,,,,,,1,Compared to using asset-level information.,1.0
10.1038/s41467-024-48820-1,Investor Losses,Mexico,,2040.0,Including acute risk,%,-82.0,,,,,,1,Compared to including tail acute risks.,1.0
10.1038/s41467-024-48820-1,Equity Valuation,Mexico,SSP3-RCP4.5,2040.0,Current Levels,%,0.0,,,,,,3,Equity shock represents the adjustment in equity valuation when considering the impact of climate scenarios on physical assets and business lines,1.0
10.1038/s41467-024-48820-1,Portfolio Risk Underestimation,Mexico,SSP3-RCP4.5,2040.0,Chronic Risk Only,%,-82.2,,,,,,3,Using chronic risk only instead of tail acute risk leads to an underestimation of losses up to 82.2%.,1.0
10.1038/s41467-024-48820-1,Portfolio VaR,Mexico,SSP3-RCP4.5,2050.0,Proxy Data,%,-67.4,,,,,,4,Underestimation when not considering chronic risks.,1.0
10.1038/s41467-024-48820-1,Portfolio VaR,Mexico,SSP3-RCP4.5,2050.0,Proxy Data,%,-70.8,,,,,,4,Underestimation when considering chronic risks.,1.0
10.15666/aeer/1605_69636976,CO2 emissions,Turkey,,2016.0,Baseline,%,-1.83,,,,,,10,Effect of increase in agricultural fields.,2.0
10.15666/aeer/1605_69636976,CO2 emissions,Turkey,,2016.0,Baseline,%,-0.04,,,,,,10,Effect of increase in GDP.,2.0
10.15666/aeer/1605_69636976,CO2 emissions,Turkey,,2016.0,Baseline,%,1.98,,,,,,10,Effect of increase in population.,2.0
10.15666/aeer/1605_69636976,CO2 emissions,Eurasian countries,,2016.0,Baseline,%,1.34,,,,,,10,Effect of increase in population.,2.0
10.15666/aeer/1605_69636976,CO2 level,Eurasia,,2016.0,Observed value,%,-0.0141,,,,,,11,Difference between observed and realized value. Correction period of 71 years.,2.0
10.15666/aeer/1605_69636976,CO2 level,Turkey,,2016.0,Observed value,%,-1.325,,,,,,11,Difference between observed and realized value. Correction period of 9 months.,2.0
10.15666/aeer/1605_69636976,CO2,Turkey,Unspecified,2016.0,Unspecified,units of CO2,-1.83,,,,,,9,Impact of 1 unit increase in share of agricultural fields within total area,2.0
10.15666/aeer/1605_69636976,CO2,Turkey,Unspecified,2016.0,Unspecified,units of CO2,-0.04,,,,,,9,Impact of 1 unit increase in GDP per capita,2.0
10.15666/aeer/1605_69636976,CO2,Turkey,Unspecified,2016.0,Unspecified,units of CO2,1.98,,,,,,9,Impact of 1 unit increase in population,2.0
10.15666/aeer/1605_69636976,CO2,Eurasia,Unspecified,2016.0,Unspecified,units of CO2,1.34,,,,,,9,Impact of 1 unit increase in population,2.0
