DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Outcome(s) of Interest,Drivers of Risk,Category,Approach,Methodology,Highlights,More Notes,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered
10.1093/restud/rdad083,Koijen et al.,2023,Which Investors Matter for Equity Valuations and Expected Returns?,https://www.bancaditalia.it/pubblicazioni/altri-atti-seminari/2021/Koijen.pdf,10.1093/restud/rdad083,AI,Step 5,Climate-induced shifts in asset demand: impact on equity prices and wealth distribution.,"Regulatory risk, stakeholder risk (changing preferences), physical risks (long-term), carbon tax policies, investor demand for green firms, environmental scores.",Other,Econometric,"An asset demand system is developed, building on Koijen and Yogo (2019), to quantify the impact of investor behavior on asset prices using holdings data from FactSet and firm-level fundamentals from CRSP and Compustat (2000-2019, with a 2010-2019 subsample for environmental/governance data from Sustainalytics). The methodology involves estimating investor-specific demand curves using an instrumental variables shrinkage estimator with a ridge penalty, modeling investor preferences and firm behavior, and incorporating market clearing conditions. Counterfactual prices and valuation ratios are computed by re-estimating cross-sectional valuation regressions with firm characteristics standardized cross-sectionally by quarter and year fixed effects. The model uses a decomposition of the market-to-book ratio and analyzes the relationship between investor characteristics and demand elasticity. Regressions are used to assess the impact of various factors, including environmental scores, on company valuations, and to map changes in valuations to expected returns using models from Cohen, Polk, and Vuolteenaho (2003) and Campbell, Polk, and Vuolteenaho (2009). An expanding window approach is used to compute investment universes, and active share is decomposed into components related to latent demand, portfolio tilts, and elastic demand.","Climate-induced shifts in asset demand can significantly impact equity prices and wealth distribution, benefiting long-term investors, banks, and passive investment advisors while potentially causing capital losses for active investment advisors and hedge funds. Foreign investors help lower the cost of capital for green firms in the US and are particularly important for their valuation, while small-active investment advisors are important for the valuation of well-governed firms. Larger, passive, and foreign investors show a stronger demand for greener firms. Small-active investment advisors and hedge funds have the largest impact on prices and are the most influential on pricing of the environmental index; foreign investors influence it the least. A broad shift in investor preferences (stakeholder risk) has a larger impact on firm valuations than regulatory risk. Environmental scores are positively correlated with the market-to-book ratio.","The document examines investor behavior, asset pricing, and financial market dynamics, with indirect references to climate risk pricing, highlighting unexplained investor heterogeneity and foreign investor influences on capital costs for greener firms; includes environmental scores from Sustainalytics without directly addressing direct climate impacts relevant to the U.S. National Climate Assessment.",Stylised changes,,,,Transitional (accounting for changes over time),,"Adaptation considerations relate to the integration of climate-related risks into investor behavior and asset pricing frameworks, examining the impact on firm valuations. Environmental and governance factors are assessed using Sustainalytics ratings, highlighting regulatory and stakeholder risks in counterfactual scenarios. Key trends in asset management and their influence on firm valuations and investor welfare are evaluated through a comprehensive framework that captures observable risks and supports climate stress testing. The analysis uses financial data and econometric methods to observe how climate-related scores affect company valuations."
10.1038/s41467-024-46548-6,Mcnamara et al.,2024,Policy and market forces delay real estate price declines on the US coast,https://people.uncw.edu/mcnamarad/papers/McNamara24.pdf,10.1038/s41467-024-46548-6,AI,Step 5,Coastal property values; demographic transitions; coastal gentrification; market adjustments to climate risks.,"Sea-level rise (SLR), storms, flooding, beach erosion, reduction in beach nourishment subsidies, shoreline retreat.",Sea-level Rise / Coastal,Other,"The Coastal Home Ownership Model (C-HOM), a coupled human-natural system model (agent-based model), simulates long-term coastal real estate market dynamics, incorporating physical coastal attributes, economic values, storm/flood risks, and SLR impacts; it uses a first-stage hedonic price function, user cost framework with a risk premium, and agent-specific parameters with heterogeneous climate beliefs; the model, coded in Matlab R2022b, simulates homeowner/investor decisions (e.g., beach nourishment) considering taxes, property values, and outside markets, with spatial resolution between a town and census block group.","Subsidies for coastal management and tax advantages for high-income property owners temporarily mask the effects of sea-level rise (SLR) on coastal property values, delaying price declines and demographic shifts, but ultimately failing to promote long-term adaptation; removing these subsidies would allow prices to more accurately reflect SLR risks, potentially leading to coastal gentrification as high-income owners enter the market, while declining outside markets exacerbate property value declines and demographic shifts, potentially leading to lower-income renters and investor ownership.","The C-HOM model explores rising coastal property values and gentrification driven by subsidies and tax advantages in US coastal regions despite SLR and climate risks, using extensive sales data. With fixed housing supply, the model considers local adaptation measures, risk preferences, property fluctuations, and policy tradeoffs, highlighting feedbacks between human and natural systems and examining buyouts with rentbacks.",Acute shocks,Adaptive,Local,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,Beach nourishment (a coastal management approach) is explicitly modeled as an adaptation strategy. Agent-based modeling captures decision-making (voting) on beach nourishment plans based on cost-benefit analysis. The model also explores the effects of subsidies for coastal management on property values.
10.1016/j.ecolecon.2022.107693,Barattieri et al.,2023,"The short-run, dynamic employment effects of natural disasters: New insights from Puerto Rico",https://aisberg.unibg.it/retrieve/d34a6f10-d38a-4169-92b2-ca3ddcf53174/The_Short-run.pdf,10.1016/j.ecolecon.2022.107693,AI,Step 5,"Short-run, dynamic employment effects; overall employment fall; heterogeneous industry responses.","Hurricanes, maximum wind speed, county-level exposure, storm index, NOAA satellite data, thresholds (33 knots, 64 knots), Saffir-Simpson scale (TS, 1-5).","Climate Hazards (Flooding, Storms, etc.)",Econometric,"The study uses panel local projections to analyze the dynamic employment effects of hurricanes in Puerto Rico from 1995-2019, employing monthly data for 70 3-digit NAICS industries and 78 counties, constructing a hurricane exposure index based on windspeed and population, and exploiting county-time, county-industry-time, and industry-time variation with controls for pre-trends and seasonal effects, while addressing missing data with linear interpolation and performing robustness checks with alternative windspeed measures, geographical centroids, and industry-specific exposure measures.","Hurricanes lead to substantial heterogeneity in employment responses across industries in Puerto Rico, with construction typically experiencing employment increases while industries such as accommodation and sightseeing transportation tend to see decreases; this variation is partly due to industry-specific input-output linkages and dynamic effects peak six months post-event, suggesting a construction boom can adversely affect retail, transport, and accommodation sectors.","The study examines short-run, dynamic employment effects of hurricanes in Puerto Rico (1995-2019) using monthly data for 70 3-digit NAICS industries and 78 'Municipios' (potentially equivalent to counties), focusing on wind speed as a measure of exposure; it models the force of wind with cubic powers and normalizes windspeed from 0 to 1, defines a tropical storm at 33 knots, controls for past values and fixed effects, considers heterogeneous industry responses and input-output linkages, discusses 'adaptability-driven employment resilience', worker reallocation, and skill transferability between industries (e.g., transport), explores dynamic effects across time horizons (up to 12 months), uses linear interpolation in some specifications, and provides industry employment averages (1995-2017) with 95% confidence bands.",Acute shocks,Adaptive,Local,Sectoral Interactions,Transitional (accounting for changes over time),,"The study primarily focuses on quantifying the economic (employment) impacts of hurricanes using panel data analysis and local projections. Adaptation is not explicitly modeled or considered. Instead, the research identifies industries that are 'strengthened', 'weakened', or 'neutral' by hurricanes, which could inform future adaptation strategies. Robustness checks include using different measures of exposure (windspeed thresholds, population weighting, etc.) and controlling for past hurricanes."
10.1111/gcb.17298,Costa A. et al.,2024,Crop rotational diversity can mitigate climate-induced grain yield losses,https://pure.sruc.ac.uk/ws/files/90361072/Global_Change_Biology_-_2024_-_Costa_-_Crop_rotational_diversity_can_mitigate_climate_induced_grain_yield_losses.pdfTest,10.1111/gcb.17298,AI,Step 5,"Reduced yield loss; Compensation for warm conditions, dry spells, wet/dry conditions; Yield increase with functional richness; Optimal species diversity (2-4).","Temperature anomalies, precipitation anomalies, dry spells (length & temperature), climate change, climate extremes (droughts).",Agriculture,Other,"Long-term (10-63 years) field experiments across Europe and North America were analyzed, using mixed-effect models in R, to quantify the effects of species diversity (D) and functional richness (FR) in crop rotations (CRD) on small grain and maize yield anomalies under varying climatic conditions (temperature, precipitation, consecutive dry days). The models, based on Equations (2) & (3), predict yield differences from baseline (monoculture under average conditions) at year 15, considering species diversity, climatic anomalies, and functional richness, with outlier handling, multicollinearity checks, and robustness testing. Rotations with species diversity 4-6 were analyzed, with baseline set to yield anomaly of rotation with functional richness 1 under long-term average of CDD and TDD.","Crop rotation diversity (CRD) can mitigate climate-induced yield losses in grains and maize, with functionally rich rotations compensating for adverse conditions like warm temperatures, dry spells, and precipitation anomalies; adding even a single species or functional group can counteract losses from substantial climatic changes, offering benefits comparable to improved climatic conditions, though yield benefits peak at specific diversity levels depending on crop and climate, and high-yielding conditions result in higher benefits from species diversity, while low-yielding conditions reduce these benefits; increasing CRD enhances yields over time and improves soil biological health.","Long-term studies demonstrate crop rotational diversity (CRD) benefits, including enhanced soil structure, increased water availability, and heat stress mitigation; the impact of CRD on small grain yields depends on crop sequence and species choice, with benefits peaking at two to four species.",Acute shocks,Adaptive,Local,Sequential Interactions,,,"The paper considers adaptation by analyzing crop yield responses to climate variables and species diversity using long-term experiments and mixed-effects models. Different climate scenarios and species diversity levels are modeled to assess impacts on agricultural outcomes. This approach evaluates how diversification in crop rotations can counteract yield anomalies, thereby serving as a potential adaptation strategy in agricultural practices."
10.1038/s41586-024-07219-0,Kotz M. et al.,2024,The economic commitment of climate change,https://publications.pik-potsdam.de/rest/items/item_29915_2/component/file_29916/content,10.1038/s41586-024-07219-0,AI,Step 5,"19% global income reduction by 2050 (likely range 11-29%), committed damages outweigh 2°C mitigation costs sixfold, committed losses projected for most regions (largest at lower latitudes).","Average temperature changes; Precipitation changes (total, wet days, extremes); Daily temperature variability; Emission scenarios (RCP2.6, RCP8.5); Climate shocks.",Total,Econometric,"The study uses fixed-effects panel regression models with climate and income data from over 1,600 regions (1979-2019) using the W5E5 and DOSE databases, combined with CMIP-6 climate model projections (RCP8.5 and RCP2.6, SSP2 scenario) and mitigation costs from IPCC AR6 IAMs; the analysis employs distributed lag models with first-differenced climate variables, spatial-lag models, block-bootstrapped regressions (1,000 resamples), Monte Carlo simulations to estimate uncertainty arising from climate models, empirical model selection (8-10 lags for temperature, 4 for precipitation), and parameter estimates to project sub-national damages, focusing on committed damages until mid-century (around 2049) and capping moderating variables at the 95th percentile of historical distributions while also employing Bayesian and Akaike information criteria to prevent overfitting.","Climate-related economic damages outweigh mitigation costs by sixfold within the next 26 years; a 19% global income reduction is already committed by 2049 (range 11-29%), with North America/Europe experiencing ~11% reductions and South Asia/Africa ~22%; damages diverge strongly across emission scenarios after 2049, highlighting mitigation benefits; temperature changes are primary damage cause, models may underestimate temperature variability and extreme precipitation; spatial spillovers amplify impacts; the study uses lagged climate variables to explore impacts on economic growth, finds precipitation impacts optimal at ~4 lags, temperature at 8-10; provides a robust lower bound on persistence of climate impacts; committed damages are larger for regions with lower GDP and cumulative emissions; several mechanisms support climate variables' impacts on growth, except 'number of wet days' where evidence is lacking; predicts significantly higher economic damages (61.6%) by 2100 under RCP8.5 compared to other studies.","The study uses a conservative approach, assuming level effects and avoiding infinite persistence; compares damages to mitigation costs, not a full cost-benefit analysis; presents results globally and regionally; acknowledges conservative damage estimates excluding channels and spillovers; spatial distribution reflects climatic changes and economic vulnerability; uses several climate variables in its models and compares itself to other panel studies; and makes data and code available online.",Chronic trends,Adaptive,Regional,Spatial Interactions,Transitional (accounting for changes over time),,"Adaptation considerations in the paper seem limited, primarily focusing on understanding economic impacts under various climate scenarios without explicitly modeling or evaluating adaptation strategies. The analysis centers on empirical impact models and economic growth effects associated with climate variables over time. While the techniques employed (e.g., fixed-effects distributed lag models, Monte Carlo simulations) account for variability and uncertainty, there is no clear mention of incorporating adaptive measures or strategies directly into the models themselves. The study aims to provide projections and estimates on the economic consequences of climate change, with an emphasis on how these are affected by baseline socio-economic and climate projections, rather than how adaptation could mitigate these impacts."
10.1038/s41586-024-07219-0,Kotz et al.,2024,The economic commitment of climate change,https://publications.pik-potsdam.de/rest/items/item_29915_2/component/file_29916/content,10.1038/s41586-024-07219-0,AI,Step 5,Economic damages; income reduction; regional heterogeneity; distributional impacts.,"Average temperature, temperature variability, precipitation (total, wet days, extremes), emission scenarios (RCP2.6, RCP8.5), greenhouse forcing.",Total,Econometric,"The methodology uses fixed-effects panel regression models with climate and economic data from over 1,600 regions (1979-2019), incorporating distributed lags (8-10 for temperature, 4 for precipitation), first-differenced climate variables, and CMIP-6 climate projections (RCP8.5, RCP2.6, SSP2). Uncertainty is estimated via Monte Carlo simulations and block-bootstrapped regressions (1,000 resamples), accounting for climate model, empirical model, and lag selection uncertainty. The study employs three empirical specifications focusing on damages committed by mid-century (around 2049) with capped moderating variables, assessing spatial spillovers using a spatial-lag model, while limiting out-of-sample extrapolation; Mitigation costs are derived from integrated assessment models (IAMs) in the IPCC AR6 database.","Climate-related economic damages outweigh mitigation costs sixfold within 26 years, committing the world to a 19% income reduction by 2049 (11-29% range) regardless of future emissions. North America and Europe face ~11% income reductions, while South Asia and Africa face ~22%. Damages increase and become more heterogeneous when accounting for multiple climatic components. Climate models may underestimate changes in temperature variability and extreme precipitation. Damages diverge strongly across emission scenarios after 2049, emphasizing the benefits of mitigation. Future changes in average temperature will cause the most damage due to being unprecedented relative to historical fluctuations. Largest committed losses are projected at lower latitudes in regions with lower historical emissions and income. Spatial spillovers can amplify damage magnitude and heterogeneity.","The study uses a conservative approach, focusing on level effects and avoiding infinite persistence assumptions; compares damages to mitigation costs without formal cost-benefit analysis; presents results globally and for ten regions; finds spatial distribution of damages reflects complex interactions between climate change and economic vulnerability; acknowledges conservative damage estimates due to excluded channels, spatial spillovers, and adaptation opportunities; makes data and code available; compares empirical specifications and includes mitigation costs; defines climate variables like annual mean temperature, temperature variability, precipitation, wet days, and extreme precipitation; follows IPCC likelihood classification; justifies the use of wet days based on empirical evidence; defines formulas for climate variables; and compares its approach to other panel-based empirical studies.",,Adaptive,Regional,Spatial Interactions,Static,,"Adaptation is largely assumed away (ceteris paribus). The study focuses on exogenous climate impacts relative to socio-economic baselines. It caps moderating variables at the 95th percentile of historical distributions, limiting out-of-sample extrapolation, which may implicitly limit some adaptation. Mitigation costs, but not adaptation, are drawn from IAMs."
10.1016/j.heliyon.2024.e26823,Rajendran S. et al.,2024,"Hydroponics: Exploring innovative sustainable technologies and applications across crop production, with Emphasis on potato mini-tuber cultivation",https://kartofelnoedelo.ru/wp-content/uploads/2024/02/1-s2.0-s2405844024028548-main.pdf,10.1016/j.heliyon.2024.e26823,AI,Step 5,"Increased potato yield, resource efficiency (water, energy, space), reduced land dependency, potential for climate resilience, improved food security.","Climate change impacting land suitability for potato production; drought; unpredictable weather; contaminated water sources; undernutrition in crops; traditional potato seed production limitations (time, cost, disease); nutrient imbalances (potassium); hot/dry locations; equipment failures; power outages; algal growth; clogging (drip systems); drought stress; salinity stress; temperature extremes; challenging environments (deserts, cold terrains, coastal regions); failures in nutrient distribution/water pumps/nozzle clogging; electrical conductivity of nutrient solution.",Agriculture,N/A,"The analysis examines various hydroponic techniques for potato mini-tuber production, including wick systems (with different wicks/media like Jeju scoria, cocopeat, perlite, peat moss), drip systems, aeroponics, deep-water culture, and Nutrient Film Technique (NFT). Studies compare these methods based on water usage, yield productivity, mineral composition, and plant development, also considering cultivars, harvest strategies, growing periods and automation by sensors.","Hydroponics, a soilless cultivation system, offers a climate-resilient alternative for potato production, addressing food security concerns by overcoming limitations of soil-based cultivation, providing disease-free mini tubers, and potentially increasing yields. Different hydroponic methods (wick, drip, ebb and flow, deep water culture, NFT, aeroponics) have varying advantages in water conservation, nutrient recirculation, oxygen supply, land usage, and tuberization. Aeroponics, in particular, can significantly increase mini-tuber production compared to conventional systems and is suitable for challenging environments; deep water culture produces small tubers; and NFT systems perform well in terms of tuber number. Optimizing factors like wick configuration, substrate composition, plant density, and real-time monitoring are crucial for success. Nanoparticles can enhance plant tolerance to environmental stresses, and beneficial microorganisms can improve hydroponic system health.","Hydroponic systems, including wick, drip, and aeroponic types, are discussed with a focus on potato cultivation and nutrient management (especially potassium). Wick systems are simple but limited, while drip systems can be modernized with data and IoT. Aeroponics has improved, but hydroponics technology is still developing and requires optimized environments and techniques. AI and sensors offer potential for optimization and climate change adaptation. Cultivar selection impacts tuber mass. Asbestos and polyethylene film are used in some hydroponic systems. The authors declare no competing interests.",N/A,N/A,N/A,None,N/A,N/A,"The paper explores hydroponics and soilless agriculture as alternatives to traditional methods for potato mini-tuber production. Different hydroponic techniques (wick, drip, aeroponic, NFT, deep-water culture) and growing media are compared for water usage, yield, mineral composition, and plant development. Customization of misting cycles in aeroponics is noted. Results are cultivar and condition-specific."
10.1016/j.agwat.2023.108640,Khorchani M. et al.,2024,Long-term croplands water productivity in response to management and climate in the Western US Corn Belt,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2708&context=natrespapers,10.1016/j.agwat.2023.108640,AI,Step 5,"Interannual variability in yield, evapotranspiration, and water productivity; impact of irrigation, water input, vapor pressure deficit, and soil water content.","Vapor pressure deficit (VPD), soil water content (SWC), evaporative demand (ET, TA, VPD), water input (WI), air temperature (TA), photosynthetic photon flux density (PPFD), irrigation, rainfed conditions.",Agriculture,Other,"Long-term (2001-2020) field-scale data from three Eastern Nebraska cropping systems (irrigated continuous maize, irrigated/rainfed maize-soybean rotation) were analyzed using Eddy Covariance (EC) techniques to measure evapotranspiration (ET). ANOVA, TukeyHSD, T-tests, Pearson/Spearman correlations, and Principal Component Analysis (PCA) were employed to assess the interannual variability of yield, ET, water productivity (WP), and their relationships with management practices and climate variables, tested at a 95% confidence interval, with climate data sourced from AmeriFlux.","Irrigated sites exhibit significantly higher water productivity (WP) than rainfed sites due to improved yields from enhanced water and nutrient availability; however, rainfed sites may utilize water more efficiently under limited conditions. Soil water content crucially influences soybean yield and WP. Empirical data from 2001 to 2020 show irrigated crops generally outperform rainfed ones in yield, evapotranspiration (ET), and WP, irrespective of crop rotation. Climate variability and management greatly affect maize WP, with yield being the primary driver of interannual WP variability. Effective irrigation scheduling and managing vapor pressure deficit are key to optimizing WP without necessarily relying on increased fertilizer use.","Methodological limitations include a lack of replicates within years due to cost, and crop rotation schedules for the three sites (US-Ne1, US-Ne2, US-Ne3) are provided in Figure 2, which uses GPP, NEE, and Re data from the Ameriflux dataset at an hourly time scale.",Chronic trends,Adaptive,Local,None,Static,N/A,"Management practices are considered as factors influencing water productivity (WP) alongside climate variability. Analysis isolates management effects from climate impacts on WP, yield, and evapotranspiration across different cropping systems (irrigated continuous maize, irrigated maize-soybean rotation, and rainfed maize-soybean rotation)."
10.51585/gjvr.2024.4.0108,Cuadrado M.F. & Dridi S.,2024,"Impact of heat stress on poultry production: Feed intake, water homeostasis, gut integrity, and meat quality",https://gmpc-akademie.de/articles/1737831764_gjvr-4-4-43.pdf,10.51585/gjvr.2024.4.0108,AI,Step 5,"Disrupted production, water homeostasis, gut integrity, meat quality; economic losses, welfare concerns.","Heat stress (HS); Climate change (rising temperatures, frequency of events); High environmental temperatures.",Agriculture,Other,"Consolidates current research on heat stress effects on poultry, discusses observed effects on broilers (gene expression, gut permeability, intestinal morphology), and references studies using chronic and cyclic heat stress models with dietary interventions.","Heat stress adversely affects poultry by reducing feed intake, disrupting water homeostasis, and compromising gut integrity, resulting in decreased growth, reproductive efficiency, and meat quality. It increases water loss, causes respiratory alkalosis, affects gut barrier function, increases gut permeability, and impairs nutrient absorption, leading to pale, soft, exudative meat with reduced water-holding capacity and increased drip loss. Innovative mitigation strategies like sprinkler cooling systems, nutritional additives, and dietary supplements like betaine and resveratrol are critical for maintaining gut integrity, enhancing muscle metabolism, and improving the antioxidant status of broilers.","Mitigation strategies for poultry heat stress include nutritional interventions (electrolytes, betaine, vitamin C, probiotics, glutamine), environmental modifications (improved housing, ventilation, cooling), genetic selection for heat tolerance, and precision farming technologies.",N/A,Adaptive,N/A,N/A,N/A,N/A,Dietary supplements are being evaluated as potential interventions for heat stress in poultry.
10.1038/s41598-022-08309-7,Hart E.H. et al.,2022,Forage grass growth under future climate change scenarios affects fermentation and ruminant efficiency,https://pure.aber.ac.uk/ws/portalfiles/portal/94769039/s41598-022-08309-7.pdf,10.1038/s41598-022-08309-7,AI,Step 5,"Decreased digestibility, decreased methane production linked to drought/flooding.","Increased temperature, elevated CO2, precipitation changes, altered weather systems, drought, flooding, heat shock, abiotic stress, biotic stress.",Agriculture,Other,"Ten forage grass varieties were grown for 3 months in growth chambers, replicated three times, under five climate scenarios (2020 control, 2050 predicted, 2050 + flooding, drought, or heat shock); subsequent analyses included chemical analysis (VFA, ammonia, FTIR), gas chromatography, in vitro rumen fermentation (48 hours), VOC analysis, and statistical modeling (ANOVA, general linear models, multivariate linear model, Random Forest, DFA, ls means with Tukey adjustment (P < 0.05)) to assess plant chemistry and rumen fermentation responses.","Acute drought and flooding consistently decreased forage digestibility and methane production; elevated temperature and CO2 had minimal impact; stress conditions significantly altered fermentation profiles, volatile organic compound (VOC) profiles, and plant chemical properties, affecting gas production and digestibility; drought and heat stress increased water soluble carbohydrates and protein, while floods reduced them.","The study investigates how climate change-induced stress on forage grasses affects rumen fermentation and ruminant feeding strategies, finding that drought and flooding significantly decrease digestibility and methane production, suggesting breeding for stress tolerance is crucial.",Acute shocks,Adaptive,Local,Sequential Interactions,N/A,N/A,"The study screens different forage grass varieties under various climate scenarios (including drought, flooding, and heat shock) to assess varietal differences in fermentation profiles. This approach evaluates the *potential* for adaptation by identifying grasses that perform better under changing climate conditions."
10.1016/j.energy.2021.122994,Daioglou V. et al.,2022,Efficiency improvement and technology choice for energy and emission reductions of the residential sector,https://circulairekennis.nl/wp-content/uploads/2022/11/O024-Efficiency-improvement-and-technology-choice-for-energy-and-emission-reductions-of-the-residential-sector.pdf,10.1016/j.energy.2021.122994,AI,Step 5,Reduced global heating demand; increased cooling demand; near-elimination of direct residential emissions; net-zero energy demand potential; heterogeneity of effective strategies.,"Climate change, temperature changes, local climatic conditions, heating demand, cooling demand, emission prices, regional climate characteristics, extreme weather events, heat island effect, increased floorspace in specific regions.",Energy,Macro-model,"A regional energy system model (TIMER-REMG), part of the IMAGE (IAM) framework, is used for a techno-economic analysis of the global residential sector. The model employs a recursive dynamic approach to explore long-term decarbonization pathways consistent with the Paris Agreement, considering building envelope efficiency, heating/cooling technology choice, and rooftop PV investment. Projections of space heating and cooling demand are based on floorspace, population, heating degree days (HDDs), cooling degree days (CDDs), and cooling intensity, with a multinomial logit function determining rooftop PV adoption. Scenario analysis includes baseline and 2°C scenarios, with varying carbon prices, technology choices, and construction/renovation trends. The model accounts for building-stock turnover, economic decision-making, and the interaction between building envelope and heating/cooling efficiency, projecting energy demand and emissions up to 2100.","Residential sector decarbonization is achievable via synergistic strategies combining increased envelope efficiency, advanced heating technologies, and rooftop PV, potentially leading to net-zero energy demand for many households; strategies must account for local climate, socio-economic, and building stock variations.","The study models building insulation levels, rooftop PV adoption, and building stock changes across different regions under baseline and 2°C warming scenarios, noting the importance of emission prices, the impact of methodological limitations (data uncertainty, tenant-landlord effect, social dynamics), and the need for grid infrastructure to manage prosumer household electricity variability.",Chronic trends,N/A,Regional,Sequential Interactions,Transitional (accounting for changes over time),N/A,"Adaptation is considered through scenario analysis focusing on building envelope efficiency improvements, technology choices, and the adoption of rooftop PV within residential energy systems. Long-term pathways explore mitigation measures consistent with climate targets. The TIMER-REMG model assesses the impact of efficiency improvements and fuel switching under different scenarios, considering technological advancements and policy impacts, such as carbon pricing, within energy systems. Building-stock turnover and economic decision-making are key components in evaluating adaptation measures."
10.1016/j.agwat.2023.108640,Khorchani et al.,2024,Long-term croplands water productivity in response to management and climate in the Western US Corn Belt,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2708&context=natrespapers,10.1016/j.agwat.2023.108640,AI,Step 5,"Significant differences in WP between irrigated and rainfed sites, mainly due to yield variations; water input correlated with rainfed maize WP and yield; vapor pressure deficit negatively correlated with rainfed maize yield and WP; soil water content correlated with soybean yield and WP.","Vapor pressure deficit (VPD), soil water content (SWC), evaporative demand (ET, TA, VPD), water input (WI), photosynthetic photon flux density (PPFD), air temperature (TA), irrigation, climate variability.",Agriculture,Other,"Long-term data from 2001-2020 were analyzed using Eddy Covariance technique and climate data from AmeriFlux to assess yield, evapotranspiration, and water productivity variability in three cropping systems in Eastern Nebraska. ANOVA, TukeyHSD, T-test, Pearson and Spearman correlations, and PCA were employed to evaluate the effects of management and climate variability, with significance tested at a 95% confidence interval, isolating management effects from climate variability.","Water productivity differs significantly between irrigated and rainfed sites, primarily due to yield, with irrigated sites showing higher yields, evapotranspiration, and water productivity due to enhanced water and nutrient availability; soil water content significantly impacts soybean yield, while crop rotation shows no significant effect on yield, evapotranspiration, or water productivity; empirical data from 2001-2020 highlights that yield is a main driver of water productivity variability and optimizing irrigation can enhance yield and water productivity without significantly increasing evaporation or fertilizer-induced transpiration.","Methodological details are prominent, including site-specific crop rotations (US-Ne1, US-Ne2, US-Ne3) and use of Ameriflux GPP, NEE, and Re data; however, a lack of within-year replicates is acknowledged as a study limitation.",Chronic trends,Adaptive,Local,None,Transitional (accounting for changes over time),N/A,"Management practices are considered as potential factors influencing water productivity, alongside climate variability. The analysis aims to isolate management effects from climate effects using long-term data and PCA modeling of different cropping systems."
10.1038/s41598-022-08309-7,Hart et al.,2022,Forage grass growth under future climate change scenarios affects fermentation and ruminant efficiency,https://pure.aber.ac.uk/ws/portalfiles/portal/94769039/s41598-022-08309-7.pdf,10.1038/s41598-022-08309-7,AI,Step 5,"Decreased digestibility, decreased methane production linked to drought/flood.","Temperature increase, elevated CO2, precipitation changes, altered weather systems (drought, flooding, heat shock), abiotic and biotic stresses.",Agriculture,Other,"Ten forage grass varieties were grown for 3 months in growth chambers under five climate scenarios (current (2020), future (2050), future plus flooding, drought, or heat shock), replicated three times; rumen fermentation was conducted for 48 hours and analyzed using in vitro gas production, FTIR, gas chromatography, and VOC analysis; statistical modeling included ANOVA, general linear models, multivariate linear model, Random Forest, DFA, and ls means with Tukey adjustment (P < 0.05); Random forest classification identified compounds distinguishing climate scenarios.","Drought and acute flood conditions significantly decrease forage digestibility and methane production; elevated temperature and CO2 have minimal impact compared to current climate; climate scenarios affect fermentation profiles, volatile organic compound (VOC) profiles, and plant chemical properties; flood reduces total gas production, while drought and heat shock lower methane; stress growth conditions are distinguishable by VOC analysis; VOCs linked to plant stress responses appear during fermentation, suggesting post-ingestion plant metabolism is a factor in the rumen.","Forage grass responses to climate change scenarios, including stress memory, were analyzed for effects on rumen degradation, volatile organic compound (VOC) profiles, and in vitro rumen fermentation, indicating that stress treatments like flooding and drought significantly impact digestibility and methane production, suggesting breeding for stress resilience is crucial for maintaining nutritional value.",Acute shocks,None,Local,None,N/A,N/A,"The study screens different forage grass varieties under current and future climate scenarios (including drought, flood, and heat shock). Varietal differences in fermentation profiles are then analyzed, implicitly evaluating the potential for selecting climate-resilient forage."
